"","common_name","state","sample_year","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths","data_type","name"
"38","arrowtooth flounder","W",1987,0,1050,0,1050,0,995,"commercial fisheries","Arrowtooth flounder"
"39","arrowtooth flounder","W",1988,0,800,0,800,0,729,"commercial fisheries","Arrowtooth flounder"
"40","arrowtooth flounder","W",1989,0,850,0,850,0,778,"commercial fisheries","Arrowtooth flounder"
"41","arrowtooth flounder","W",1990,0,600,0,600,0,599,"commercial fisheries","Arrowtooth flounder"
"42","arrowtooth flounder","W",1991,0,1100,0,1100,0,550,"commercial fisheries","Arrowtooth flounder"
"43","arrowtooth flounder","W",1992,0,849,1,850,0,0,"commercial fisheries","Arrowtooth flounder"
"44","arrowtooth flounder","W",1993,0,900,0,900,0,0,"commercial fisheries","Arrowtooth flounder"
"45","arrowtooth flounder","W",1994,0,1000,0,1000,0,0,"commercial fisheries","Arrowtooth flounder"
"46","arrowtooth flounder","W",1995,0,1098,0,1098,0,0,"commercial fisheries","Arrowtooth flounder"
"47","arrowtooth flounder","W",1996,0,900,0,900,0,0,"commercial fisheries","Arrowtooth flounder"
"48","arrowtooth flounder","W",1997,0,895,5,900,0,0,"commercial fisheries","Arrowtooth flounder"
"49","arrowtooth flounder","W",1998,0,999,2,1001,150,150,"commercial fisheries","Arrowtooth flounder"
"50","arrowtooth flounder","W",1999,0,1098,1,1099,0,0,"commercial fisheries","Arrowtooth flounder"
"51","arrowtooth flounder","W",2000,0,1050,0,1050,0,0,"commercial fisheries","Arrowtooth flounder"
"52","arrowtooth flounder","W",2001,0,800,0,800,0,0,"commercial fisheries","Arrowtooth flounder"
"53","arrowtooth flounder","W",2002,0,499,1,500,0,0,"commercial fisheries","Arrowtooth flounder"
"54","arrowtooth flounder","W",2003,0,300,0,300,299,0,"commercial fisheries","Arrowtooth flounder"
"55","arrowtooth flounder","W",2004,0,300,0,300,266,0,"commercial fisheries","Arrowtooth flounder"
"56","arrowtooth flounder","W",2005,0,199,1,200,198,0,"commercial fisheries","Arrowtooth flounder"
"57","arrowtooth flounder","W",2006,0,604,1,605,0,0,"commercial fisheries","Arrowtooth flounder"
"58","arrowtooth flounder","W",2007,0,1050,0,1050,0,0,"commercial fisheries","Arrowtooth flounder"
"59","arrowtooth flounder","W",2008,0,900,0,900,0,0,"commercial fisheries","Arrowtooth flounder"
"60","arrowtooth flounder","W",2009,0,1365,0,1365,0,0,"commercial fisheries","Arrowtooth flounder"
"61","arrowtooth flounder","W",2010,0,833,0,833,0,0,"commercial fisheries","Arrowtooth flounder"
"62","arrowtooth flounder","W",2011,0,899,0,899,0,0,"commercial fisheries","Arrowtooth flounder"
"63","arrowtooth flounder","W",2012,0,1098,2,1100,0,0,"commercial fisheries","Arrowtooth flounder"
"64","arrowtooth flounder","W",2013,0,500,0,500,0,0,"commercial fisheries","Arrowtooth flounder"
"65","arrowtooth flounder","W",2014,0,600,0,600,0,0,"commercial fisheries","Arrowtooth flounder"
"66","arrowtooth flounder","W",2015,0,599,1,600,0,0,"commercial fisheries","Arrowtooth flounder"
"67","arrowtooth flounder","W",2016,0,177,25,202,0,0,"commercial fisheries","Arrowtooth flounder"
"68","arrowtooth flounder","W",2017,0,250,0,250,0,0,"commercial fisheries","Arrowtooth flounder"
"69","arrowtooth flounder","W",2018,0,703,0,703,0,0,"commercial fisheries","Arrowtooth flounder"
"70","arrowtooth flounder","W",2019,0,259,0,259,0,0,"commercial fisheries","Arrowtooth flounder"
"71","arrowtooth flounder","W",2020,0,76,0,76,0,0,"commercial fisheries","Arrowtooth flounder"
"72","aurora rockfish","C",1980,0,34,1,35,0,33,"commercial fisheries","Aurora rockfish"
"73","aurora rockfish","C",1981,0,83,0,83,0,39,"commercial fisheries","Aurora rockfish"
"74","aurora rockfish","C",1982,0,94,0,94,0,43,"commercial fisheries","Aurora rockfish"
"75","aurora rockfish","C",1983,0,542,0,542,0,524,"commercial fisheries","Aurora rockfish"
"76","aurora rockfish","C",1984,0,415,0,415,0,414,"commercial fisheries","Aurora rockfish"
"77","aurora rockfish","C",1985,0,791,7,798,0,847,"commercial fisheries","Aurora rockfish"
"78","aurora rockfish","C",1986,0,574,1,575,0,66,"commercial fisheries","Aurora rockfish"
"79","aurora rockfish","C",1987,0,178,1,179,0,0,"commercial fisheries","Aurora rockfish"
"80","aurora rockfish","C",1988,0,215,3,218,0,0,"commercial fisheries","Aurora rockfish"
"81","aurora rockfish","C",1989,0,231,34,265,0,0,"commercial fisheries","Aurora rockfish"
"82","aurora rockfish","C",1990,0,282,204,486,0,0,"commercial fisheries","Aurora rockfish"
"83","aurora rockfish","C",1991,0,115,1,116,0,0,"commercial fisheries","Aurora rockfish"
"84","aurora rockfish","C",1992,0,105,264,369,0,0,"commercial fisheries","Aurora rockfish"
"85","aurora rockfish","C",1993,0,158,86,244,0,0,"commercial fisheries","Aurora rockfish"
"86","aurora rockfish","C",1994,0,343,78,421,0,0,"commercial fisheries","Aurora rockfish"
"87","aurora rockfish","C",1995,0,441,48,489,0,0,"commercial fisheries","Aurora rockfish"
"88","aurora rockfish","C",1996,0,421,350,771,0,0,"commercial fisheries","Aurora rockfish"
"89","aurora rockfish","C",1997,0,330,224,554,0,0,"commercial fisheries","Aurora rockfish"
"90","aurora rockfish","C",1998,0,235,61,296,0,0,"commercial fisheries","Aurora rockfish"
"91","aurora rockfish","C",1999,0,233,77,310,0,0,"commercial fisheries","Aurora rockfish"
"92","aurora rockfish","C",2000,0,245,40,285,0,22,"commercial fisheries","Aurora rockfish"
"93","aurora rockfish","C",2001,0,246,254,489,0,0,"commercial fisheries","Aurora rockfish"
"94","aurora rockfish","C",2002,0,1030,353,1352,0,620,"commercial fisheries","Aurora rockfish"
"95","aurora rockfish","C",2003,0,1453,635,2075,497,413,"commercial fisheries","Aurora rockfish"
"96","aurora rockfish","C",2004,0,337,169,482,0,235,"commercial fisheries","Aurora rockfish"
"97","aurora rockfish","C",2005,0,682,279,960,0,382,"commercial fisheries","Aurora rockfish"
"98","aurora rockfish","C",2006,0,725,608,1330,0,381,"commercial fisheries","Aurora rockfish"
"99","aurora rockfish","C",2007,0,745,186,930,0,240,"commercial fisheries","Aurora rockfish"
"100","aurora rockfish","C",2008,0,1493,152,1645,229,0,"commercial fisheries","Aurora rockfish"
"101","aurora rockfish","C",2009,0,1087,268,1355,155,196,"commercial fisheries","Aurora rockfish"
"102","aurora rockfish","C",2010,0,780,188,942,0,69,"commercial fisheries","Aurora rockfish"
"103","aurora rockfish","C",2011,0,1428,1270,2145,0,795,"commercial fisheries","Aurora rockfish"
"104","aurora rockfish","C",2012,0,939,1234,1459,0,744,"commercial fisheries","Aurora rockfish"
"105","aurora rockfish","C",2013,0,431,890,734,0,364,"commercial fisheries","Aurora rockfish"
"106","aurora rockfish","C",2014,0,178,954,533,0,115,"commercial fisheries","Aurora rockfish"
"107","aurora rockfish","C",2015,0,550,1267,879,0,458,"commercial fisheries","Aurora rockfish"
"108","aurora rockfish","C",2016,0,524,1205,1276,0,161,"commercial fisheries","Aurora rockfish"
"109","aurora rockfish","C",2017,0,1276,526,1495,0,63,"commercial fisheries","Aurora rockfish"
"110","aurora rockfish","C",2018,0,509,94,603,0,22,"commercial fisheries","Aurora rockfish"
"111","aurora rockfish","C",2019,0,380,141,437,0,0,"commercial fisheries","Aurora rockfish"
"112","aurora rockfish","C",2020,0,162,38,200,0,0,"commercial fisheries","Aurora rockfish"
"113","aurora rockfish","O",2001,0,154,0,154,0,114,"commercial fisheries","Aurora rockfish"
"114","aurora rockfish","O",2003,0,90,0,90,85,3,"commercial fisheries","Aurora rockfish"
"115","aurora rockfish","O",2004,0,260,0,260,0,258,"commercial fisheries","Aurora rockfish"
"116","aurora rockfish","O",2005,0,176,0,176,0,176,"commercial fisheries","Aurora rockfish"
"117","aurora rockfish","O",2006,0,316,0,316,0,301,"commercial fisheries","Aurora rockfish"
"118","aurora rockfish","O",2007,0,765,0,765,0,713,"commercial fisheries","Aurora rockfish"
"119","aurora rockfish","O",2008,0,621,0,621,196,423,"commercial fisheries","Aurora rockfish"
"120","aurora rockfish","O",2009,0,754,0,754,199,551,"commercial fisheries","Aurora rockfish"
"121","aurora rockfish","O",2010,0,591,2,593,0,536,"commercial fisheries","Aurora rockfish"
"122","aurora rockfish","O",2011,0,1282,0,1282,0,1272,"commercial fisheries","Aurora rockfish"
"123","aurora rockfish","O",2012,0,1265,1,1266,0,1238,"commercial fisheries","Aurora rockfish"
"124","aurora rockfish","O",2013,0,1154,0,1154,0,1113,"commercial fisheries","Aurora rockfish"
"125","aurora rockfish","O",2014,0,1251,0,1251,0,1251,"commercial fisheries","Aurora rockfish"
"126","aurora rockfish","O",2015,0,834,0,834,0,834,"commercial fisheries","Aurora rockfish"
"127","aurora rockfish","O",2016,0,783,0,783,0,783,"commercial fisheries","Aurora rockfish"
"128","aurora rockfish","O",2017,0,853,0,853,0,853,"commercial fisheries","Aurora rockfish"
"129","aurora rockfish","O",2018,0,755,1,756,0,741,"commercial fisheries","Aurora rockfish"
"130","aurora rockfish","O",2019,0,390,0,390,0,388,"commercial fisheries","Aurora rockfish"
"131","aurora rockfish","O",2020,0,96,1,97,0,97,"commercial fisheries","Aurora rockfish"
"132","aurora rockfish","W",1996,0,0,10,10,0,0,"commercial fisheries","Aurora rockfish"
"133","aurora rockfish","W",1997,0,2,16,18,0,0,"commercial fisheries","Aurora rockfish"
"134","aurora rockfish","W",1998,0,13,3,16,0,0,"commercial fisheries","Aurora rockfish"
"135","aurora rockfish","W",1999,0,7,3,10,0,0,"commercial fisheries","Aurora rockfish"
"136","aurora rockfish","W",2000,0,3,10,13,0,0,"commercial fisheries","Aurora rockfish"
"137","aurora rockfish","W",2001,0,11,1,12,0,0,"commercial fisheries","Aurora rockfish"
"138","aurora rockfish","W",2002,0,11,0,11,0,0,"commercial fisheries","Aurora rockfish"
"139","aurora rockfish","W",2003,0,76,7,83,0,0,"commercial fisheries","Aurora rockfish"
"140","aurora rockfish","W",2004,0,118,0,118,0,0,"commercial fisheries","Aurora rockfish"
"141","aurora rockfish","W",2005,0,51,0,51,0,0,"commercial fisheries","Aurora rockfish"
"142","aurora rockfish","W",2006,0,30,0,30,0,0,"commercial fisheries","Aurora rockfish"
"143","aurora rockfish","W",2007,0,15,0,15,0,0,"commercial fisheries","Aurora rockfish"
"144","aurora rockfish","W",2008,0,18,0,18,0,0,"commercial fisheries","Aurora rockfish"
"145","aurora rockfish","W",2009,0,36,4,40,0,0,"commercial fisheries","Aurora rockfish"
"146","aurora rockfish","W",2010,0,16,0,16,0,0,"commercial fisheries","Aurora rockfish"
"147","aurora rockfish","W",2011,0,134,0,134,0,0,"commercial fisheries","Aurora rockfish"
"148","aurora rockfish","W",2012,0,180,6,186,0,0,"commercial fisheries","Aurora rockfish"
"149","aurora rockfish","W",2013,0,24,0,24,0,0,"commercial fisheries","Aurora rockfish"
"150","aurora rockfish","W",2014,0,73,5,78,0,0,"commercial fisheries","Aurora rockfish"
"151","aurora rockfish","W",2015,0,101,5,106,0,0,"commercial fisheries","Aurora rockfish"
"152","aurora rockfish","W",2016,0,31,1,32,0,0,"commercial fisheries","Aurora rockfish"
"153","aurora rockfish","W",2017,0,53,0,53,0,0,"commercial fisheries","Aurora rockfish"
"154","aurora rockfish","W",2018,0,101,1,102,0,0,"commercial fisheries","Aurora rockfish"
"155","aurora rockfish","W",2019,0,57,0,57,0,0,"commercial fisheries","Aurora rockfish"
"156","aurora rockfish","W",2020,0,1,0,1,0,0,"commercial fisheries","Aurora rockfish"
"157","bank rockfish","C",1980,0,20,8,28,23,1,"commercial fisheries","Bank rockfish"
"158","bank rockfish","C",1981,0,334,36,370,235,0,"commercial fisheries","Bank rockfish"
"159","bank rockfish","C",1982,0,556,17,573,513,292,"commercial fisheries","Bank rockfish"
"160","bank rockfish","C",1983,0,913,373,1283,0,226,"commercial fisheries","Bank rockfish"
"161","bank rockfish","C",1984,0,1979,1337,3315,249,1592,"commercial fisheries","Bank rockfish"
"162","bank rockfish","C",1985,0,3819,1989,5808,93,4231,"commercial fisheries","Bank rockfish"
"163","bank rockfish","C",1986,0,5962,332,6294,457,2385,"commercial fisheries","Bank rockfish"
"164","bank rockfish","C",1987,0,3237,391,3628,219,1017,"commercial fisheries","Bank rockfish"
"165","bank rockfish","C",1988,0,1904,120,2024,486,1633,"commercial fisheries","Bank rockfish"
"166","bank rockfish","C",1989,0,1486,62,1548,379,461,"commercial fisheries","Bank rockfish"
"167","bank rockfish","C",1990,0,1610,64,1674,399,1260,"commercial fisheries","Bank rockfish"
"168","bank rockfish","C",1991,0,1713,91,1804,405,1897,"commercial fisheries","Bank rockfish"
"169","bank rockfish","C",1992,0,981,386,1367,6,1081,"commercial fisheries","Bank rockfish"
"170","bank rockfish","C",1993,0,501,406,907,382,770,"commercial fisheries","Bank rockfish"
"171","bank rockfish","C",1994,0,508,408,916,292,435,"commercial fisheries","Bank rockfish"
"172","bank rockfish","C",1995,0,272,532,804,271,281,"commercial fisheries","Bank rockfish"
"173","bank rockfish","C",1996,0,638,615,1253,238,606,"commercial fisheries","Bank rockfish"
"174","bank rockfish","C",1997,0,1175,495,1670,415,1063,"commercial fisheries","Bank rockfish"
"175","bank rockfish","C",1998,0,822,520,1342,2,671,"commercial fisheries","Bank rockfish"
"176","bank rockfish","C",1999,0,342,77,419,0,260,"commercial fisheries","Bank rockfish"
"177","bank rockfish","C",2000,0,392,243,635,0,140,"commercial fisheries","Bank rockfish"
"178","bank rockfish","C",2001,0,469,788,1201,0,372,"commercial fisheries","Bank rockfish"
"179","bank rockfish","C",2002,0,651,654,1300,0,510,"commercial fisheries","Bank rockfish"
"180","bank rockfish","C",2003,0,748,146,821,0,573,"commercial fisheries","Bank rockfish"
"181","bank rockfish","C",2004,0,455,279,731,0,368,"commercial fisheries","Bank rockfish"
"182","bank rockfish","C",2005,0,112,114,226,0,79,"commercial fisheries","Bank rockfish"
"183","bank rockfish","C",2006,0,103,131,234,0,127,"commercial fisheries","Bank rockfish"
"184","bank rockfish","C",2007,0,132,98,230,0,100,"commercial fisheries","Bank rockfish"
"185","bank rockfish","C",2008,0,347,452,799,0,250,"commercial fisheries","Bank rockfish"
"186","bank rockfish","C",2009,0,122,237,359,0,58,"commercial fisheries","Bank rockfish"
"187","bank rockfish","C",2010,0,210,64,274,0,81,"commercial fisheries","Bank rockfish"
"188","bank rockfish","C",2011,0,82,144,225,0,74,"commercial fisheries","Bank rockfish"
"189","bank rockfish","C",2012,0,66,301,367,0,63,"commercial fisheries","Bank rockfish"
"190","bank rockfish","C",2013,0,177,240,412,0,176,"commercial fisheries","Bank rockfish"
"191","bank rockfish","C",2014,0,49,120,169,0,46,"commercial fisheries","Bank rockfish"
"192","bank rockfish","C",2015,0,148,272,420,0,134,"commercial fisheries","Bank rockfish"
"193","bank rockfish","C",2016,0,84,484,567,0,81,"commercial fisheries","Bank rockfish"
"194","bank rockfish","C",2017,0,141,186,327,0,126,"commercial fisheries","Bank rockfish"
"195","bank rockfish","C",2018,0,36,282,318,0,36,"commercial fisheries","Bank rockfish"
"196","bank rockfish","C",2019,0,140,68,208,0,0,"commercial fisheries","Bank rockfish"
"197","bank rockfish","C",2020,0,55,174,229,0,0,"commercial fisheries","Bank rockfish"
"198","bank rockfish","O",2001,0,2,0,2,0,2,"commercial fisheries","Bank rockfish"
"199","bank rockfish","O",2004,0,21,0,21,0,21,"commercial fisheries","Bank rockfish"
"200","bank rockfish","O",2005,0,26,0,26,0,26,"commercial fisheries","Bank rockfish"
"201","bank rockfish","O",2006,0,8,0,8,0,8,"commercial fisheries","Bank rockfish"
"202","bank rockfish","O",2007,0,61,0,61,0,59,"commercial fisheries","Bank rockfish"
"203","bank rockfish","O",2008,0,132,0,131,0,105,"commercial fisheries","Bank rockfish"
"204","bank rockfish","O",2009,0,43,0,43,0,43,"commercial fisheries","Bank rockfish"
"205","bank rockfish","O",2010,0,44,0,44,0,43,"commercial fisheries","Bank rockfish"
"206","bank rockfish","O",2011,0,65,0,65,0,65,"commercial fisheries","Bank rockfish"
"207","bank rockfish","O",2012,0,42,0,42,0,42,"commercial fisheries","Bank rockfish"
"208","bank rockfish","O",2013,0,97,0,97,0,97,"commercial fisheries","Bank rockfish"
"209","bank rockfish","O",2014,0,91,0,91,0,90,"commercial fisheries","Bank rockfish"
"210","bank rockfish","O",2015,0,61,0,61,0,61,"commercial fisheries","Bank rockfish"
"211","bank rockfish","O",2016,0,102,0,102,0,102,"commercial fisheries","Bank rockfish"
"212","bank rockfish","O",2017,0,92,0,92,0,86,"commercial fisheries","Bank rockfish"
"213","bank rockfish","O",2018,0,159,0,159,0,158,"commercial fisheries","Bank rockfish"
"214","bank rockfish","O",2019,0,145,0,145,0,145,"commercial fisheries","Bank rockfish"
"215","bank rockfish","O",2020,0,128,0,128,0,128,"commercial fisheries","Bank rockfish"
"216","bank rockfish","W",2004,0,2,0,2,0,0,"commercial fisheries","Bank rockfish"
"217","bank rockfish","W",2011,0,2,0,2,0,0,"commercial fisheries","Bank rockfish"
"218","bank rockfish","W",2014,0,2,0,2,0,0,"commercial fisheries","Bank rockfish"
"219","bank rockfish","W",2015,0,4,0,4,0,0,"commercial fisheries","Bank rockfish"
"220","bank rockfish","W",2016,0,2,0,2,0,0,"commercial fisheries","Bank rockfish"
"221","bank rockfish","W",2017,0,1,0,1,0,0,"commercial fisheries","Bank rockfish"
"222","bank rockfish","W",2019,0,193,0,193,0,0,"commercial fisheries","Bank rockfish"
"223","bank rockfish","W",2020,0,22,0,22,0,0,"commercial fisheries","Bank rockfish"
"224","big skate","C",2007,0,1,0,1,0,0,"commercial fisheries","Big skate"
"225","big skate","C",2009,0,32,10,32,0,0,"commercial fisheries","Big skate"
"226","big skate","C",2010,0,8,0,8,0,0,"commercial fisheries","Big skate"
"227","big skate","C",2011,0,2,0,2,0,0,"commercial fisheries","Big skate"
"228","big skate","C",2012,0,43,0,43,0,0,"commercial fisheries","Big skate"
"229","big skate","C",2013,0,201,6,207,0,0,"commercial fisheries","Big skate"
"230","big skate","C",2014,0,217,1,218,0,0,"commercial fisheries","Big skate"
"231","big skate","C",2015,0,237,0,237,0,0,"commercial fisheries","Big skate"
"232","big skate","C",2016,0,181,0,181,0,0,"commercial fisheries","Big skate"
"233","big skate","C",2017,0,239,0,239,0,0,"commercial fisheries","Big skate"
"234","big skate","C",2018,0,157,0,157,0,0,"commercial fisheries","Big skate"
"235","big skate","C",2019,0,98,0,98,0,0,"commercial fisheries","Big skate"
"236","big skate","C",2020,0,33,3,36,0,0,"commercial fisheries","Big skate"
"237","big skate","O",1995,0,55,0,55,0,0,"commercial fisheries","Big skate"
"238","big skate","O",1996,0,8,0,8,0,0,"commercial fisheries","Big skate"
"239","big skate","O",1997,0,14,0,14,0,0,"commercial fisheries","Big skate"
"240","big skate","O",1998,0,2,0,2,0,0,"commercial fisheries","Big skate"
"241","big skate","O",1999,0,8,0,8,0,0,"commercial fisheries","Big skate"
"242","big skate","O",2001,0,43,0,43,0,0,"commercial fisheries","Big skate"
"243","big skate","O",2002,0,199,0,199,0,0,"commercial fisheries","Big skate"
"244","big skate","O",2003,0,202,0,202,0,0,"commercial fisheries","Big skate"
"245","big skate","O",2004,0,27,0,27,0,0,"commercial fisheries","Big skate"
"246","big skate","O",2005,0,123,0,123,0,0,"commercial fisheries","Big skate"
"247","big skate","O",2006,0,310,0,310,0,0,"commercial fisheries","Big skate"
"248","big skate","O",2007,0,127,0,127,23,29,"commercial fisheries","Big skate"
"249","big skate","O",2008,0,95,0,94,80,0,"commercial fisheries","Big skate"
"250","big skate","O",2009,0,235,0,235,87,0,"commercial fisheries","Big skate"
"251","big skate","O",2010,0,187,0,186,103,3,"commercial fisheries","Big skate"
"252","big skate","O",2011,0,419,0,419,202,0,"commercial fisheries","Big skate"
"253","big skate","O",2012,0,477,0,477,120,7,"commercial fisheries","Big skate"
"254","big skate","O",2013,0,254,0,252,0,0,"commercial fisheries","Big skate"
"255","big skate","O",2014,0,237,0,237,0,0,"commercial fisheries","Big skate"
"256","big skate","O",2015,0,412,0,411,0,0,"commercial fisheries","Big skate"
"257","big skate","O",2016,0,444,0,444,0,0,"commercial fisheries","Big skate"
"258","big skate","O",2017,0,668,0,668,0,57,"commercial fisheries","Big skate"
"259","big skate","O",2018,0,554,0,553,39,423,"commercial fisheries","Big skate"
"260","big skate","O",2019,0,550,0,550,0,394,"commercial fisheries","Big skate"
"261","big skate","O",2020,0,96,0,96,0,47,"commercial fisheries","Big skate"
"262","big skate","W",2004,0,15,0,15,0,14,"commercial fisheries","Big skate"
"263","big skate","W",2005,0,87,0,87,0,0,"commercial fisheries","Big skate"
"264","big skate","W",2006,0,191,1,192,0,0,"commercial fisheries","Big skate"
"265","big skate","W",2007,0,173,0,173,0,0,"commercial fisheries","Big skate"
"266","big skate","W",2008,0,94,0,94,0,0,"commercial fisheries","Big skate"
"267","big skate","W",2009,0,18,0,18,0,0,"commercial fisheries","Big skate"
"268","big skate","W",2010,0,15,0,15,0,0,"commercial fisheries","Big skate"
"269","big skate","W",2011,0,14,0,9,0,0,"commercial fisheries","Big skate"
"270","big skate","W",2012,0,38,0,38,0,0,"commercial fisheries","Big skate"
"271","big skate","W",2013,0,168,0,168,0,0,"commercial fisheries","Big skate"
"272","big skate","W",2014,0,249,0,249,0,0,"commercial fisheries","Big skate"
"273","big skate","W",2015,0,8,2,10,0,0,"commercial fisheries","Big skate"
"274","big skate","W",2016,0,107,0,107,0,0,"commercial fisheries","Big skate"
"275","big skate","W",2017,0,56,0,56,0,0,"commercial fisheries","Big skate"
"276","big skate","W",2018,0,121,0,121,0,112,"commercial fisheries","Big skate"
"277","big skate","W",2019,0,20,0,20,0,0,"commercial fisheries","Big skate"
"278","big skate","W",2020,0,4,0,4,0,0,"commercial fisheries","Big skate"
"279","black and yellow rockfish","C",1985,0,0,8,8,0,1,"commercial fisheries","Gopher/Black and yellow rockfish"
"280","black and yellow rockfish","C",1987,0,0,82,82,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"281","black and yellow rockfish","C",1992,0,0,67,67,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"282","black and yellow rockfish","C",1993,0,0,167,165,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"283","black and yellow rockfish","C",1994,0,0,241,241,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"284","black and yellow rockfish","C",1995,0,0,736,736,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"285","black and yellow rockfish","C",1996,0,0,732,732,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"286","black and yellow rockfish","C",1997,0,0,715,715,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"287","black and yellow rockfish","C",1998,0,0,1399,1399,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"288","black and yellow rockfish","C",1999,0,0,1611,1587,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"289","black and yellow rockfish","C",2000,0,0,1791,1768,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"290","black and yellow rockfish","C",2001,0,0,598,552,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"291","black and yellow rockfish","C",2002,0,0,368,356,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"292","black and yellow rockfish","C",2003,0,0,342,326,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"293","black and yellow rockfish","C",2004,0,0,389,371,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"294","black and yellow rockfish","C",2005,0,0,500,404,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
"295","black and yellow rockfish","C",2006,0,0,527,156,0,0,"commercial fisheries","Gopher/Black and yellow rockfish"
