data_source_agency_code,sample_year,species_name,data_type_name,statistical_area_code,pfmc_area_code,mfbds_v_sample.punch_card_area_code,mfbds_v_fish.punch_card_area_code,stock_region,CountOffish_length,CountOffish_weight,CountOfsex_code,CountOfbest_age,CountOfage_structure,age_structure_name
WDFW,2002,Pacific Ocean Perch,Commercial,16,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2002,Pacific Ocean Perch,Commercial,16,3A,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,17,3A,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,,,,,"Coastal, WA ",50,0,50,25,50,Otolith
WDFW,2002,Pacific Sardine,Commercial,,,,,No Area Data,3632,3621,1848,1839,3638,Otolith
WDFW,2002,Pacific Whiting (Hake),Commercial,,3A,,,"Coastal, WA and Non-WA",509,0,509,0,0,No age structure taken
WDFW,2002,Pacific Whiting (Hake),Commercial,,3A,,,"Coastal, WA and Non-WA",284,180,284,0,284,Otolith
WDFW,2002,Petrale Sole,Commercial,12,3B,,,"Coastal, WA ",141,0,141,100,141,Otolith
WDFW,2002,Petrale Sole,Commercial,13,3C,,,"Coastal, WA ",500,0,500,350,500,Otolith
WDFW,2002,Petrale Sole,Commercial,15,3B,,,"Coastal, WA ",50,0,50,49,50,Otolith
WDFW,2002,Petrale Sole,Commercial,16,3A,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Petrale Sole,Commercial,17,3A,,,"Coastal, WA ",50,0,50,48,50,Otolith
WDFW,2002,Petrale Sole,Commercial,30,3A,,,"U.S. Coastal, Non-WA",50,0,50,50,50,Otolith
WDFW,2002,Petrale Sole,Commercial,32,2C,,,"U.S. Coastal, Non-WA",50,0,50,50,50,Otolith
WDFW,2002,Pygmy Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Commercial,13,3C,,,"Coastal, WA ",10,0,10,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Commercial,26,4A,,,"Puget Sound, WA",6,0,0,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,12,3B,,,"Coastal, WA ",150,0,150,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,13,3C,,,"Coastal, WA ",290,0,290,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,14,3B,,,"Coastal, WA ",19,0,19,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,15,3B,,,"Coastal, WA ",9,0,9,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,16,3A,,,"Coastal, WA ",4,0,1,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",2,0,2,0,0,No age structure taken
WDFW,2002,Redbanded Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",27,0,3,0,0,No age structure taken
WDFW,2002,Redstripe Rockfish,Commercial,12,3B,,,"Coastal, WA ",484,0,484,0,0,No age structure taken
WDFW,2002,Redstripe Rockfish,Commercial,13,3C,,,"Coastal, WA ",383,2,383,0,0,No age structure taken
WDFW,2002,Redstripe Rockfish,Commercial,15,3B,,,"Coastal, WA ",11,0,11,0,0,No age structure taken
WDFW,2002,Rosethorn Rockfish,Commercial,12,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Rosethorn Rockfish,Commercial,13,3C,,,"Coastal, WA ",233,0,233,0,0,No age structure taken
WDFW,2002,Rosethorn Rockfish,Commercial,,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,12,3B,,,"Coastal, WA ",67,0,67,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",357,0,357,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,13,3C,,,"Coastal, WA ",41,0,41,0,41,Otolith
WDFW,2002,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",76,0,76,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,14,3B,,,"Coastal, WA ",25,0,1,0,25,Otolith
WDFW,2002,Rougheye Rockfish,Commercial,15,3B,,,"Coastal, WA ",41,0,41,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,15,3B,,,"Coastal, WA ",39,0,39,0,39,Otolith
WDFW,2002,Rougheye Rockfish,Commercial,16,3A,,,"Coastal, WA ",33,0,3,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,16,3A,,,"Coastal, WA ",25,0,0,0,25,Otolith
WDFW,2002,Rougheye Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",1,0,1,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",92,0,49,0,0,No age structure taken
WDFW,2002,Rougheye Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",4,0,0,0,4,Otolith
WDFW,2002,Sablefish,Commercial,,,,,"Coastal, WA ",1505,0,17,0,0,No age structure taken
WDFW,2002,Sablefish,Commercial,,,,,"Coastal, WA ",182,0,182,181,182,Otolith
WDFW,2002,Sablefish,Commercial,,,,,"Coastal, WA and Non-WA",1194,0,0,0,0,No age structure taken
WDFW,2002,Sharpchin Rockfish,Commercial,12,3B,,,"Coastal, WA ",176,0,176,0,0,No age structure taken
WDFW,2002,Sharpchin Rockfish,Commercial,13,3C,,,"Coastal, WA ",472,0,472,0,0,No age structure taken
WDFW,2002,Sharpchin Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Sharpchin Rockfish,Commercial,15,3B,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2002,Shortbelly Rockfish,Commercial,12,3B,,,"Coastal, WA ",11,0,11,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,12,3B,,,"Coastal, WA ",22,0,22,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",14,1,14,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,13,3C,,,"Coastal, WA ",3,1,3,0,3,Otolith
WDFW,2002,Shortraker Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,15,3B,,,"Coastal, WA ",7,0,7,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,15,3B,,,"Coastal, WA ",3,0,3,0,3,Otolith
WDFW,2002,Shortraker Rockfish,Commercial,16,3A,,,"Coastal, WA ",9,0,0,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,16,3A,,,"Coastal, WA ",19,0,0,0,19,Otolith
WDFW,2002,Shortraker Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",2,0,2,0,0,No age structure taken
WDFW,2002,Shortraker Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",18,0,18,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,12,3B,,,"Coastal, WA ",408,0,408,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,13,3C,,,"Coastal, WA ",556,0,556,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,14,3B,,,"Coastal, WA ",142,0,142,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,15,3B,,,"Coastal, WA ",41,0,41,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,16,3A,,,"Coastal, WA ",36,0,36,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,,,,,"Coastal, WA ",130,0,130,0,0,No age structure taken
WDFW,2002,Shortspine Thornyhead,Commercial,,,,,"Coastal, WA and Non-WA",10,10,0,0,0,No age structure taken
WDFW,2002,Silvergrey Rockfish,Commercial,12,3B,,,"Coastal, WA ",12,0,12,0,0,No age structure taken
WDFW,2002,Silvergrey Rockfish,Commercial,13,3C,,,"Coastal, WA ",57,0,57,0,0,No age structure taken
WDFW,2002,Silvergrey Rockfish,Commercial,15,3B,,,"Coastal, WA ",6,0,6,0,0,No age structure taken
WDFW,2002,Silvergrey Rockfish,Commercial,,,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,12,3B,,,"Coastal, WA ",61,0,61,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,13,3C,,,"Coastal, WA ",188,0,188,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,14,3B,,,"Coastal, WA ",25,0,25,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,15,3B,,,"Coastal, WA ",13,0,13,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",23,0,23,0,0,No age structure taken
WDFW,2002,Splitnose Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",4,0,4,0,0,No age structure taken
WDFW,2002,Walleye Pollock,Commercial,13,3C,,,"Coastal, WA ",100,0,0,0,0,No age structure taken
WDFW,2002,Widow Rockfish,Commercial,12,3B,,,"Coastal, WA ",450,0,450,442,450,Otolith
WDFW,2002,Widow Rockfish,Commercial,13,3C,,,"Coastal, WA ",36,0,36,0,0,No age structure taken
WDFW,2002,Widow Rockfish,Commercial,13,3C,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Widow Rockfish,Commercial,15,3B,,,"Coastal, WA ",100,0,100,95,100,Otolith
WDFW,2002,Yelloweye Rockfish,Commercial,12,3B,,,"Coastal, WA ",7,1,7,7,7,Otolith
WDFW,2002,Yelloweye Rockfish,Commercial,13,3C,,,"Coastal, WA ",126,20,126,126,126,Otolith
WDFW,2002,Yelloweye Rockfish,Commercial,17,3A,,,"Coastal, WA ",2,0,2,2,2,Otolith
WDFW,2002,Yelloweye Rockfish,Commercial,,,,,"Coastal, WA ",4,0,4,4,4,Otolith
WDFW,2002,Yellowmouth Rockfish,Commercial,13,3C,,,"Coastal, WA ",1,1,1,0,0,No age structure taken
WDFW,2002,Yellowtail Rockfish,Commercial,12,3B,,,"Coastal, WA ",250,0,250,248,250,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,13,3C,,,"Coastal, WA ",393,0,393,391,393,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,14,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,15,3B,,,"Coastal, WA ",318,0,318,318,318,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,16,3A,,,"Coastal, WA ",302,0,302,296,302,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,17,3A,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",50,0,50,50,50,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,,,,,"Coastal, WA ",150,0,150,150,150,Otolith
WDFW,2002,Yellowtail Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",93,0,93,93,93,Otolith
WDFW,2003,Arrowtooth Flounder,Commercial,13,3C,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2003,Arrowtooth Flounder,Commercial,14,3B,,,"Coastal, WA ",50,0,50,49,50,Otolith
WDFW,2003,Arrowtooth Flounder,Commercial,15,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2003,Arrowtooth Flounder,Commercial,16,3A,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2003,Aurora Rockfish,Commercial,12,3B,,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2003,Aurora Rockfish,Commercial,13,3C,,,"Coastal, WA ",13,0,7,0,0,No age structure taken
WDFW,2003,Aurora Rockfish,Commercial,14,3B,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2003,Aurora Rockfish,Commercial,16,3A,,,"Coastal, WA ",60,0,60,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,12,3B,,,"Coastal, WA ",12,0,12,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,13,3C,,,"Coastal, WA ",25,0,17,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,16,3A,,,"Coastal, WA ",17,0,17,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,,,,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2003,Blackgill Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",17,0,17,0,0,No age structure taken
WDFW,2003,Black Rockfish,Commercial,12,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2003,Bocaccio,Commercial,12,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Bocaccio,Commercial,12,3B,,,"Coastal, WA ",3,0,3,0,3,Otolith
WDFW,2003,Bocaccio,Commercial,13,3C,,,"Coastal, WA ",240,0,240,0,0,No age structure taken
WDFW,2003,Bocaccio,Commercial,13,3C,,,"Coastal, WA ",28,0,28,0,28,Otolith
WDFW,2003,Canary Rockfish,Commercial,12,3B,,,"Coastal, WA ",148,0,148,148,148,Otolith
WDFW,2003,Canary Rockfish,Commercial,13,3C,,,"Coastal, WA ",123,0,123,123,123,Otolith
WDFW,2003,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",15,0,15,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",58,0,58,58,58,Otolith
WDFW,2003,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",135,0,135,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",275,0,275,274,275,Otolith
WDFW,2003,Darkblotched Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,15,3B,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,15,3B,,,"Coastal, WA ",31,0,31,30,31,Otolith
WDFW,2003,Darkblotched Rockfish,Commercial,16,3A,,,"Coastal, WA ",5,0,5,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,16,3A,,,"Coastal, WA ",8,0,8,7,8,Otolith
WDFW,2003,Darkblotched Rockfish,Commercial,,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Darkblotched Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2003,Dover Sole,Commercial,12,3B,,,"Coastal, WA ",278,0,278,136,278,Otolith
WDFW,2003,Dover Sole,Commercial,13,3C,,,"Coastal, WA ",450,0,450,297,450,Otolith
WDFW,2003,Dover Sole,Commercial,14,3B,,,"Coastal, WA ",250,0,250,124,250,Otolith
WDFW,2003,Dover Sole,Commercial,15,3B,,,"Coastal, WA ",103,0,103,47,103,Otolith
WDFW,2003,Dover Sole,Commercial,16,3A,,,"Coastal, WA ",50,0,50,25,50,Otolith
WDFW,2003,English Sole,Commercial,12,3B,,,"Coastal, WA ",600,0,600,548,600,Interoperculum
WDFW,2003,English Sole,Commercial,13,3C,,,"Coastal, WA ",250,0,250,249,250,Interoperculum
WDFW,2003,Greenspotted Rockfish,Commercial,12,3B,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2003,Greenstriped Rockfish,Commercial,12,3B,,,"Coastal, WA ",18,0,18,0,0,No age structure taken
WDFW,2003,Greenstriped Rockfish,Commercial,12,3B,,,"Coastal, WA ",27,0,27,0,27,Otolith
WDFW,2003,Greenstriped Rockfish,Commercial,13,3C,,,"Coastal, WA ",379,0,379,0,0,No age structure taken
WDFW,2003,Greenstriped Rockfish,Commercial,,3B,,,"Coastal, WA ",5,0,5,0,0,No age structure taken
WDFW,2003,Greenstriped Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",27,0,27,0,0,No age structure taken
WDFW,2003,Lingcod,Commercial,12,3B,,,"Coastal, WA ",301,0,301,301,301,Fin
WDFW,2003,Lingcod,Commercial,13,3C,,,"Coastal, WA ",110,0,110,110,110,Fin
WDFW,2003,Lingcod,Commercial,15,3B,,,"Coastal, WA ",25,0,25,25,25,Fin
WDFW,2003,Lingcod,Commercial,16,3A,,,"Coastal, WA ",70,0,70,70,70,Fin
WDFW,2003,Lingcod,Commercial,17,3A,,,"Coastal, WA ",8,0,8,8,8,Fin
WDFW,2003,Longspine Thornyhead,Commercial,13,3C,,,"Coastal, WA ",251,0,251,0,0,No age structure taken
WDFW,2003,Longspine Thornyhead,Commercial,14,3B,,,"Coastal, WA ",233,0,233,0,0,No age structure taken
WDFW,2003,Longspine Thornyhead,Commercial,16,3A,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2003,Longspine Thornyhead,Commercial,,,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2003,Pacific Cod,Commercial,12,3B,,,"Coastal, WA ",899,0,899,0,0,No age structure taken
WDFW,2003,Pacific Cod,Commercial,13,3C,,,"Coastal, WA ",400,0,400,0,0,No age structure taken
WDFW,2003,Pacific Cod,Commercial,20,4A,,,"Puget Sound, WA",100,100,100,100,100,Otolith
WDFW,2003,Pacific Cod,Commercial,23,4A,,,"Puget Sound, WA",100,0,100,100,100,Otolith
WDFW,2003,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",19,0,19,0,0,No age structure taken
WDFW,2003,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",100,0,100,99,100,Otolith
WDFW,2003,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",7,0,5,0,0,No age structure taken
WDFW,2003,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",300,0,250,300,300,Otolith
WDFW,2003,Pacific Ocean Perch,Commercial,14,3B,,,"Coastal, WA ",5,0,5,0,0,No age structure taken
WDFW,2003,Pacific Ocean Perch,Commercial,15,3B,,,"Coastal, WA ",100,0,100,100,100,Otolith
WDFW,2003,Pacific Ocean Perch,Commercial,16,3A,,,"Coastal, WA ",12,0,12,0,0,No age structure taken
WDFW,2003,Pacific Ocean Perch,Commercial,16,3A,,,"Coastal, WA ",300,0,300,300,300,Otolith
WDFW,2003,Pacific Ocean Perch,Commercial,,,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2003,Pacific Ocean Perch,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2003,Pacific Sardine,Commercial,,,,,No Area Data,2912,2911,1500,1491,2912,Otolith
WDFW,2003,Pacific Whiting (Hake),Commercial,,3A,,,"Coastal, WA and Non-WA",508,0,508,0,0,No age structure taken
