"Year","Species","Available","Aged"
2012,"QUILLBACK ROCKFISH",475,0
2013,"QUILLBACK ROCKFISH",284,0
2014,"QUILLBACK ROCKFISH",193,0
2017,"QUILLBACK ROCKFISH",228,0
2018,"QUILLBACK ROCKFISH",349,0
2019,"QUILLBACK ROCKFISH",392,0
2020,"QUILLBACK ROCKFISH",153,0
2005,"TIGER ROCKFISH",0,9
2006,"TIGER ROCKFISH",0,62
2007,"TIGER ROCKFISH",83,0
2008,"TIGER ROCKFISH",80,0
2009,"TIGER ROCKFISH",55,0
2010,"TIGER ROCKFISH",30,0
2011,"TIGER ROCKFISH",56,0
2012,"TIGER ROCKFISH",146,0
2013,"TIGER ROCKFISH",59,0
2014,"TIGER ROCKFISH",43,0
2015,"TIGER ROCKFISH",21,0
2016,"TIGER ROCKFISH",19,0
2017,"TIGER ROCKFISH",13,0
2018,"TIGER ROCKFISH",56,0
2019,"TIGER ROCKFISH",30,0
2020,"TIGER ROCKFISH",41,0
2005,"VERMILION ROCKFISH",16,115
2006,"VERMILION ROCKFISH",0,284
2007,"VERMILION ROCKFISH",99,109
2008,"VERMILION ROCKFISH",156,179
2009,"VERMILION ROCKFISH",92,97
2010,"VERMILION ROCKFISH",74,85
2011,"VERMILION ROCKFISH",90,101
2012,"VERMILION ROCKFISH",85,89
2013,"VERMILION ROCKFISH",82,87
2014,"VERMILION ROCKFISH",43,43
2015,"VERMILION ROCKFISH",30,32
2016,"VERMILION ROCKFISH",21,29
2017,"VERMILION ROCKFISH",23,29
2018,"VERMILION ROCKFISH",18,29
2019,"VERMILION ROCKFISH",66,75
2020,"VERMILION ROCKFISH",48,67
2001,"YELLOWTAIL ROCKFISH",12,0
