"common_name","year","positive_sites","sexed_fish","unsexed_fish","lengthed_fish","aged_fish","unread_otoliths"
"Widow Rockfish",2004,13,56,0,56,0,55
"Widow Rockfish",2005,14,73,2,75,0,74
"Widow Rockfish",2006,15,68,1,68,0,68
"Widow Rockfish",2007,12,43,0,43,0,43
"Widow Rockfish",2008,33,173,3,174,0,173
"Widow Rockfish",2009,14,39,0,39,0,39
"Widow Rockfish",2010,9,15,0,15,0,15
"Widow Rockfish",2011,8,13,0,13,0,13
"Widow Rockfish",2012,3,3,0,3,0,3
"Widow Rockfish",2013,13,16,0,16,0,16
"Widow Rockfish",2014,26,70,0,69,0,70
"Widow Rockfish",2015,12,19,0,19,0,19
"Widow Rockfish",2016,18,39,1,39,0,37
"Widow Rockfish",2017,25,56,0,56,0,50
"Widow Rockfish",2018,25,69,0,69,0,66
"Widow Rockfish",2019,11,21,2,23,0,23
"Yelloweye Rockfish",2004,1,1,0,1,0,1
"Yelloweye Rockfish",2006,1,1,0,1,0,1
"Yelloweye Rockfish",2007,3,3,0,3,0,3
"Yelloweye Rockfish",2009,2,5,0,5,0,5
"Yelloweye Rockfish",2010,2,2,0,2,0,2
"Yelloweye Rockfish",2012,1,1,0,1,0,1
"Yelloweye Rockfish",2015,7,13,0,13,0,13
"Yelloweye Rockfish",2016,7,15,0,15,0,10
"Yelloweye Rockfish",2017,7,15,0,15,0,15
"Yelloweye Rockfish",2018,8,13,0,13,0,13
"Yelloweye Rockfish",2019,11,17,0,17,0,16
"Yellowtail Rockfish",2004,14,126,3,126,124,0
"Yellowtail Rockfish",2005,14,107,25,122,0,122
"Yellowtail Rockfish",2006,6,88,3,88,0,88
"Yellowtail Rockfish",2007,18,119,12,119,0,119
"Yellowtail Rockfish",2008,15,139,2,139,0,139
"Yellowtail Rockfish",2009,16,79,6,80,0,80
"Yellowtail Rockfish",2010,12,60,3,60,0,0
"Yellowtail Rockfish",2011,13,78,52,126,0,1
"Yellowtail Rockfish",2012,11,107,5,106,0,106
"Yellowtail Rockfish",2013,13,93,6,96,0,95
"Yellowtail Rockfish",2014,17,105,9,110,0,110
"Yellowtail Rockfish",2015,13,78,2,78,0,78
"Yellowtail Rockfish",2016,14,87,3,89,0,87
"Yellowtail Rockfish",2017,12,46,0,46,0,40
"Yellowtail Rockfish",2018,12,76,4,77,0,66
"Yellowtail Rockfish",2019,13,67,4,69,0,61
