"name","state","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Greenspotted rockfish","W",0,0,0,0,0
"Greenstriped rockfish","C",0,113,113,0,0
"Greenstriped rockfish","O",0,18,18,0,0
"Greenstriped rockfish","W",4,2,6,0,4
"Honeycomb rockfish","C",3,736,739,0,0
"Honeycomb rockfish","O",0,0,0,0,0
"Honeycomb rockfish","W",0,0,0,0,0
"Kelp greenling","C",376,169,545,0,0
"Kelp greenling","O",293,1340,1632,147,154
"Kelp greenling","W",139,135,274,69,52
"Kelp rockfish","C",1,691,691,0,0
"Kelp rockfish","O",0,0,0,0,0
"Kelp rockfish","W",0,0,0,0,0
"Leopard shark","C",36,75,110,0,0
"Leopard shark","O",0,0,0,0,0
"Leopard shark","W",0,0,0,0,0
"Lingcod","C",3214,1606,4820,0,17
"Lingcod","O",1033,5189,6222,378,539
"Lingcod","W",1043,411,1454,779,127
"Longnose skate","C",0,0,0,0,0
"Longnose skate","O",0,1,1,0,0
"Longnose skate","W",0,0,0,0,0
"Olive rockfish","C",0,1956,1956,0,7
"Olive rockfish","O",0,2,2,0,0
"Olive rockfish","W",0,0,0,0,0
"Pacific cod","C",0,0,0,0,0
"Pacific cod","O",0,3,3,0,0
"Pacific cod","W",14,3,17,0,4
"Pacific ocean perch","C",0,0,0,0,0
"Pacific ocean perch","O",0,0,0,0,0
"Pacific ocean perch","W",0,0,1,0,0
"Pacific sanddab","C",371,1997,2368,0,0
"Pacific sanddab","O",0,79,79,0,0
"Pacific sanddab","W",0,0,0,0,0
"Pacific spiny dogfish","C",21,36,57,0,0
"Pacific spiny dogfish","O",0,3,3,0,0
"Pacific spiny dogfish","W",0,0,0,0,0
"Petrale sole","C",0,79,79,0,0
"Petrale sole","O",0,106,106,0,0
"Petrale sole","W",1,1,2,1,0
"Quillback rockfish","C",0,266,266,0,2
"Quillback rockfish","O",217,749,967,41,176
"Quillback rockfish","W",189,52,241,111,18
"Redbanded rockfish","C",0,0,0,0,0
"Redbanded rockfish","O",0,2,2,0,0
"Redbanded rockfish","W",1,1,2,0,1
"Redstripe rockfish","C",0,0,0,0,0
"Redstripe rockfish","O",0,9,9,0,0
"Redstripe rockfish","W",0,0,0,0,0
"Rex sole","C",0,0,0,0,0
"Rex sole","O",0,0,0,0,0
"Rex sole","W",0,0,0,0,0
"Rock sole","C",0,44,44,0,0
"Rock sole","O",0,3,3,0,0
"Rock sole","W",1,0,1,0,1
"Rosethorn rockfish","C",0,1,1,0,0
"Rosethorn rockfish","O",0,18,18,0,0
"Rosethorn rockfish","W",0,0,0,0,0
"Rosy rockfish","C",0,992,992,0,0
"Rosy rockfish","O",0,4,4,0,0
"Rosy rockfish","W",0,0,0,0,0
"Rougheye/Blackspotted rockfish","C",0,0,0,0,0
"Rougheye/Blackspotted rockfish","O",0,0,0,0,0
"Rougheye/Blackspotted rockfish","W",0,0,0,0,0
"Sablefish","C",0,3,3,0,0
"Sablefish","O",0,97,97,0,0
"Sablefish","W",15,8,23,0,12
"Sand sole","C",0,31,31,0,0
"Sand sole","O",0,43,43,0,0
"Sand sole","W",0,0,0,0,0
"Shortspine thornyhead","C",0,0,0,0,0
"Shortspine thornyhead","O",0,0,0,0,0
"Shortspine thornyhead","W",0,0,0,0,0
"Silvergray rockfish","C",0,0,0,0,0
"Silvergray rockfish","O",0,17,17,0,0
"Silvergray rockfish","W",4,1,5,0,4
"Speckled rockfish","C",0,511,511,0,0
"Speckled rockfish","O",0,0,0,0,0
"Speckled rockfish","W",0,0,0,0,0
"Squarespot rockfish","C",1,826,827,0,0
"Squarespot rockfish","O",0,0,0,0,0
"Squarespot rockfish","W",0,0,0,0,0
"Starry flounder","C",0,34,34,0,0
"Starry flounder","O",0,13,13,0,0
"Starry flounder","W",2,3,4,0,0
"Starry rockfish","C",3,1621,1624,0,2
"Starry rockfish","O",0,0,0,0,0
"Starry rockfish","W",0,0,0,0,0
"Stripetail rockfish","C",0,4,4,0,0
"Stripetail rockfish","O",0,0,0,0,0
"Stripetail rockfish","W",0,0,0,0,0
"Treefish","C",0,545,546,0,0
"Treefish","O",0,0,0,0,0
"Treefish","W",0,0,0,0,0
"Vermilion/Sunset rockfish","C",4,6811,6815,0,6
"Vermilion/Sunset rockfish","O",119,550,669,76,50
"Vermilion/Sunset rockfish","W",48,28,75,40,7
"Widow rockfish","C",0,353,353,0,1
"Widow rockfish","O",0,256,256,0,0
"Widow rockfish","W",173,21,194,123,36
"Yelloweye rockfish","C",0,45,45,0,11
"Yelloweye rockfish","O",0,80,81,0,0
"Yelloweye rockfish","W",9,1,10,3,6
"Yellowmouth rockfish","C",0,0,0,0,0
"Yellowmouth rockfish","O",0,0,0,0,0
"Yellowmouth rockfish","W",0,0,0,0,0
"Yellowtail rockfish","C",0,3173,3173,0,11
"Yellowtail rockfish","O",0,1819,1819,0,0
"Yellowtail rockfish","W",541,134,675,304,53
