"common_name","year","length_ca","length_or","length_wa","age_ca","age_or","age_wa"
"bank_rockfish","1993","907","0","0","382","0","0"
"bank_rockfish","1994","916","0","0","292","0","0"
"bank_rockfish","1995","804","0","0","271","0","0"
"bank_rockfish","1996","1253","0","0","238","0","0"
"bank_rockfish","1997","1670","0","0","415","0","0"
"bank_rockfish","1998","1342","0","0","2","0","0"
"bank_rockfish","1999","419","0","0","0","0","0"
"bank_rockfish","2000","635","0","0","0","0","0"
"bank_rockfish","2001","1201","2","0","0","0","0"
"bank_rockfish","2002","1300","0","0","0","0","0"
"bank_rockfish","2003","821","0","0","0","0","0"
"bank_rockfish","2004","731","21","2","0","0","0"
"bank_rockfish","2005","226","26","0","0","0","0"
"bank_rockfish","2006","234","8","0","0","0","0"
"bank_rockfish","2007","230","61","0","0","0","0"
"bank_rockfish","2008","799","131","0","0","0","0"
"bank_rockfish","2009","359","43","0","0","0","0"
"bank_rockfish","2010","274","44","0","0","0","0"
"bank_rockfish","2011","225","65","2","0","0","0"
"bank_rockfish","2012","367","42","0","0","0","0"
"bank_rockfish","2013","412","97","0","0","0","0"
"bank_rockfish","2014","169","91","2","0","0","0"
"bank_rockfish","2015","420","61","4","0","0","0"
"bank_rockfish","2016","567","102","2","0","0","0"
"bank_rockfish","2017","327","92","1","0","0","0"
"bank_rockfish","2018","318","159","0","0","0","0"
"bank_rockfish","2019","208","145","193","0","0","0"
"bank_rockfish","2020","229","128","22","0","0","0"
"big_skate","1980","0","0","0","0","0","0"
"big_skate","1981","0","0","0","0","0","0"
"big_skate","1982","0","0","0","0","0","0"
"big_skate","1983","0","0","0","0","0","0"
"big_skate","1984","0","0","0","0","0","0"
"big_skate","1985","0","0","0","0","0","0"
"big_skate","1986","0","0","0","0","0","0"
"big_skate","1987","0","0","0","0","0","0"
"big_skate","1988","0","0","0","0","0","0"
"big_skate","1989","0","0","0","0","0","0"
"big_skate","1990","0","0","0","0","0","0"
"big_skate","1991","0","0","0","0","0","0"
"big_skate","1992","0","0","0","0","0","0"
"big_skate","1993","0","0","0","0","0","0"
"big_skate","1994","0","0","0","0","0","0"
"big_skate","1995","0","55","0","0","0","0"
"big_skate","1996","0","8","0","0","0","0"
"big_skate","1997","0","14","0","0","0","0"
"big_skate","1998","0","2","0","0","0","0"
"big_skate","1999","0","8","0","0","0","0"
"big_skate","2000","0","0","0","0","0","0"
"big_skate","2001","0","43","0","0","0","0"
"big_skate","2002","0","199","0","0","0","0"
"big_skate","2003","0","202","0","0","0","0"
"big_skate","2004","0","27","15","0","0","14"
"big_skate","2005","0","123","87","0","0","0"
"big_skate","2006","0","310","192","0","0","0"
"big_skate","2007","1","127","173","0","23","0"
"big_skate","2008","0","94","94","0","80","0"
"big_skate","2009","32","235","18","0","87","0"
"big_skate","2010","8","186","15","0","103","0"
"big_skate","2011","2","419","9","0","202","0"
"big_skate","2012","43","477","38","0","120","0"
"big_skate","2013","207","252","168","0","0","0"
"big_skate","2014","218","237","249","0","0","0"
"big_skate","2015","237","411","10","0","0","0"
"big_skate","2016","181","444","107","0","0","0"
"big_skate","2017","239","668","56","0","0","0"
"big_skate","2018","157","553","121","0","39","112"
"big_skate","2019","98","550","20","0","0","0"
"big_skate","2020","36","96","4","0","0","0"
"black_and_yellow_rockfish","1980","0","0","0","0","0","0"
"black_and_yellow_rockfish","1981","0","0","0","0","0","0"
"black_and_yellow_rockfish","1982","0","0","0","0","0","0"
"black_and_yellow_rockfish","1983","0","0","0","0","0","0"
"black_and_yellow_rockfish","1984","0","0","0","0","0","0"
"black_and_yellow_rockfish","1985","8","0","0","0","0","0"
"black_and_yellow_rockfish","1986","0","0","0","0","0","0"
"black_and_yellow_rockfish","1987","82","0","0","0","0","0"
"black_and_yellow_rockfish","1988","0","0","0","0","0","0"
"black_and_yellow_rockfish","1989","0","0","0","0","0","0"
"black_and_yellow_rockfish","1990","0","0","0","0","0","0"
"black_and_yellow_rockfish","1991","0","0","0","0","0","0"
"black_and_yellow_rockfish","1992","67","0","0","0","0","0"
"black_and_yellow_rockfish","1993","165","0","0","0","0","0"
"black_and_yellow_rockfish","1994","241","0","0","0","0","0"
"black_and_yellow_rockfish","1995","736","0","0","0","0","0"
"black_and_yellow_rockfish","1996","732","0","0","0","0","0"
"black_and_yellow_rockfish","1997","715","0","0","0","0","0"
"black_and_yellow_rockfish","1998","1399","0","0","0","0","0"
"black_and_yellow_rockfish","1999","1587","0","0","0","0","0"
"black_and_yellow_rockfish","2000","1768","0","0","0","0","0"
"black_and_yellow_rockfish","2001","552","4","0","0","0","0"
"black_and_yellow_rockfish","2002","356","2","0","0","0","0"
"black_and_yellow_rockfish","2003","326","1","0","0","0","0"
"black_and_yellow_rockfish","2004","371","6","0","0","0","0"
"black_and_yellow_rockfish","2005","404","0","0","0","0","0"
"black_and_yellow_rockfish","2006","156","4","0","0","0","0"
"black_and_yellow_rockfish","2007","488","6","0","0","0","0"
"black_and_yellow_rockfish","2008","167","3","0","0","0","0"
"black_and_yellow_rockfish","2009","250","1","0","0","0","0"
"black_and_yellow_rockfish","2010","300","0","0","0","0","0"
"black_and_yellow_rockfish","2011","274","0","0","0","0","0"
"black_and_yellow_rockfish","2012","289","2","0","0","0","0"
"black_and_yellow_rockfish","2013","238","0","0","0","0","0"
"black_and_yellow_rockfish","2014","67","3","0","0","0","0"
"black_and_yellow_rockfish","2015","222","4","0","0","0","0"
"black_and_yellow_rockfish","2016","405","1","0","0","0","0"
"black_and_yellow_rockfish","2017","574","0","0","0","0","0"
"black_and_yellow_rockfish","2018","596","1","0","0","0","0"
"black_and_yellow_rockfish","2019","540","0","0","0","0","0"
"black_and_yellow_rockfish","2020","620","0","0","0","0","0"
"black_rockfish","1980","132","0","196","28","0","99"
"black_rockfish","1981","130","0","400","129","0","394"
"black_rockfish","1982","368","0","429","16","0","295"
"black_rockfish","1983","283","0","924","0","0","894"
"black_rockfish","1984","233","0","400","226","0","397"
"black_rockfish","1985","188","355","0","144","0","0"
"black_rockfish","1986","27","0","849","0","0","846"
"black_rockfish","1987","184","0","1123","0","0","1121"
"black_rockfish","1988","125","0","524","0","0","515"
"black_rockfish","1989","80","0","524","0","0","521"
"black_rockfish","1990","5","0","349","0","0","349"
"black_rockfish","1991","36","0","802","0","0","801"
"black_rockfish","1992","1013","203","575","0","143","575"
"black_rockfish","1993","2413","0","666","0","0","664"
"black_rockfish","1994","2836","41","444","0","41","443"
"black_rockfish","1995","2145","439","406","0","0","405"
"black_rockfish","1996","1978","228","0","0","0","0"
"black_rockfish","1997","1049","441","31","0","0","0"
"black_rockfish","1998","306","381","85","0","194","0"
"black_rockfish","1999","2385","152","0","0","0","0"
"black_rockfish","2000","596","603","3","0","287","0"
"black_rockfish","2001","999","1049","1","32","205","0"
"black_rockfish","2002","601","1332","50","13","316","0"
"black_rockfish","2003","142","1414","3","19","489","0"
"black_rockfish","2004","266","3566","15","9","453","0"
"black_rockfish","2005","220","2261","1","1","310","0"
"black_rockfish","2006","641","4580","20","0","772","19"
"black_rockfish","2007","559","3843","0","28","635","0"
"black_rockfish","2008","283","2921","0","0","619","0"
"black_rockfish","2009","683","2944","0","96","839","0"
"black_rockfish","2010","174","4257","0","0","864","0"
"black_rockfish","2011","349","4590","0","44","880","0"
"black_rockfish","2012","695","3583","0","44","789","0"
"black_rockfish","2013","590","4304","0","1","440","0"
"black_rockfish","2014","1172","6876","0","0","935","0"
"black_rockfish","2015","1712","6424","0","0","951","0"
"black_rockfish","2016","924","6303","0","0","951","0"
"black_rockfish","2017","478","5294","0","0","0","0"
"black_rockfish","2018","568","5094","0","0","0","0"
"black_rockfish","2019","89","4657","0","0","0","0"
"black_rockfish","2020","499","1678","0","0","0","0"
"blackgill_rockfish","1980","40","0","0","0","0","0"
"blackgill_rockfish","1981","182","0","0","0","0","0"
"blackgill_rockfish","1982","156","0","0","17","0","0"
"blackgill_rockfish","1983","637","0","0","185","0","0"
"blackgill_rockfish","1984","1137","0","0","127","0","0"
"blackgill_rockfish","1985","2987","0","0","86","0","0"
"blackgill_rockfish","1986","5153","0","0","134","0","0"
"blackgill_rockfish","1987","3509","0","0","0","0","0"
"blackgill_rockfish","1988","2639","0","0","0","0","0"
"blackgill_rockfish","1989","1159","0","0","0","0","0"
"blackgill_rockfish","1990","1018","0","0","0","0","0"
"blackgill_rockfish","1991","942","0","0","0","0","0"
"blackgill_rockfish","1992","2365","0","0","0","0","0"
"blackgill_rockfish","1993","591","0","0","0","0","0"
"blackgill_rockfish","1994","887","0","0","0","0","0"
"blackgill_rockfish","1995","1403","0","0","0","0","0"
"blackgill_rockfish","1996","2272","0","31","0","0","0"
"blackgill_rockfish","1997","1795","59","182","0","0","0"
"blackgill_rockfish","1998","1177","0","137","0","0","0"
"blackgill_rockfish","1999","605","0","76","0","0","0"
"blackgill_rockfish","2000","704","0","153","0","0","0"
"blackgill_rockfish","2001","819","0","35","64","0","0"
"blackgill_rockfish","2002","1342","6","27","169","0","0"
"blackgill_rockfish","2003","1020","82","74","157","0","0"
"blackgill_rockfish","2004","328","22","32","21","0","0"
"blackgill_rockfish","2005","623","19","40","176","0","0"
"blackgill_rockfish","2006","802","124","22","221","0","0"
"blackgill_rockfish","2007","515","204","28","101","0","0"
"blackgill_rockfish","2008","1560","341","28","230","0","0"
"blackgill_rockfish","2009","1402","472","30","131","0","0"
"blackgill_rockfish","2010","1284","594","22","39","0","0"
"blackgill_rockfish","2011","1365","435","48","0","0","0"
"blackgill_rockfish","2012","1360","823","48","0","0","0"
"blackgill_rockfish","2013","682","665","26","0","0","0"
"blackgill_rockfish","2014","675","818","31","0","0","0"
"blackgill_rockfish","2015","1305","531","5","0","0","0"
"blackgill_rockfish","2016","1543","253","16","0","0","0"
"blackgill_rockfish","2017","797","490","11","0","0","0"
"blackgill_rockfish","2018","542","402","3","0","0","0"
"blackgill_rockfish","2019","721","288","13","0","0","0"
"blackgill_rockfish","2020","669","53","0","0","0","0"
"blue_rockfish","1980","3","0","21","0","0","0"
"blue_rockfish","1981","8","0","0","0","0","0"
"blue_rockfish","1982","16","0","0","0","0","0"
"blue_rockfish","1983","11","0","0","0","0","0"
"blue_rockfish","1984","3","0","0","0","0","0"
"blue_rockfish","1985","76","0","0","0","0","0"
"blue_rockfish","1986","23","0","0","0","0","0"
"blue_rockfish","1987","2","0","0","0","0","0"
"blue_rockfish","1988","3","0","0","0","0","0"
"blue_rockfish","1989","24","0","0","0","0","0"
"blue_rockfish","1990","13","0","0","0","0","0"
"blue_rockfish","1991","89","0","0","0","0","0"
"blue_rockfish","1992","1308","64","0","0","0","0"
"blue_rockfish","1993","3695","0","0","0","0","0"
"blue_rockfish","1994","1833","0","0","0","0","0"
"blue_rockfish","1995","638","0","0","0","0","0"
"blue_rockfish","1996","1103","0","0","0","0","0"
"blue_rockfish","1997","1019","0","0","0","0","0"
"blue_rockfish","1998","543","0","0","0","0","0"
"blue_rockfish","1999","1052","13","0","0","0","0"
"blue_rockfish","2000","126","243","0","0","32","0"
"blue_rockfish","2001","135","97","0","0","0","0"
"blue_rockfish","2002","258","78","0","0","0","0"
"blue_rockfish","2003","41","172","0","0","56","0"
"blue_rockfish","2004","110","227","0","0","0","0"
"blue_rockfish","2005","173","169","0","0","32","0"
"blue_rockfish","2006","140","186","0","0","0","0"
"blue_rockfish","2007","308","375","0","0","159","0"
"blue_rockfish","2008","154","128","0","0","0","0"
"blue_rockfish","2009","185","165","0","0","145","0"
"blue_rockfish","2010","95","427","0","0","0","0"
"blue_rockfish","2011","359","572","0","67","265","0"
"blue_rockfish","2012","816","496","0","50","0","0"
"blue_rockfish","2013","482","673","0","0","637","0"
"blue_rockfish","2014","310","625","0","0","592","0"
"blue_rockfish","2015","807","267","0","2","260","0"
"blue_rockfish","2016","233","68","0","0","0","0"
"blue_rockfish","2017","193","45","0","0","0","0"
"blue_rockfish","2018","121","65","0","0","0","0"
"blue_rockfish","2019","291","147","0","0","0","0"
"blue_rockfish","2020","256","35","0","0","0","0"
"bocaccio","1980","2107","0","6","252","0","0"
"bocaccio","1981","1693","0","0","0","0","0"
"bocaccio","1982","2930","0","0","0","0","0"
"bocaccio","1983","3396","100","0","0","0","0"
"bocaccio","1984","4000","0","0","0","0","0"
"bocaccio","1985","4089","0","0","434","0","0"
"bocaccio","1986","4677","0","0","506","0","0"
"bocaccio","1987","4601","0","0","577","0","0"
"bocaccio","1988","3299","0","0","416","0","0"
"bocaccio","1989","3190","0","0","499","0","0"
"bocaccio","1990","3301","0","0","254","0","0"
"bocaccio","1991","3414","0","0","636","0","0"
"bocaccio","1992","3812","1","0","554","0","0"
"bocaccio","1993","3508","1","0","639","0","0"
"bocaccio","1994","2675","0","0","630","0","0"
"bocaccio","1995","1718","0","245","0","0","245"
"bocaccio","1996","1815","0","441","0","0","0"
"bocaccio","1997","1733","15","626","0","0","0"
"bocaccio","1998","1177","47","518","0","0","0"
"bocaccio","1999","771","12","222","598","0","0"
"bocaccio","2000","282","15","200","0","0","0"
"bocaccio","2001","901","0","124","0","0","0"
"bocaccio","2002","475","5","298","0","0","0"
"bocaccio","2003","2","0","272","0","0","0"
"bocaccio","2004","200","1","74","181","0","0"
"bocaccio","2005","19","16","88","0","0","0"
"bocaccio","2006","80","5","15","0","0","0"
"bocaccio","2007","76","7","0","0","0","0"
"bocaccio","2008","71","36","1","0","0","0"
"bocaccio","2009","74","24","1","0","0","0"
"bocaccio","2010","68","22","0","0","0","0"
"bocaccio","2011","70","25","4","0","0","0"
"bocaccio","2012","356","34","13","0","0","0"
"bocaccio","2013","433","30","2","0","0","0"
"bocaccio","2014","459","39","12","0","0","0"
"bocaccio","2015","940","22","0","0","0","0"
"bocaccio","2016","955","73","5","0","0","0"
"bocaccio","2017","1090","674","144","0","0","0"
"bocaccio","2018","1627","821","171","0","0","0"
"bocaccio","2019","1366","1095","272","0","0","0"
"bocaccio","2020","1431","412","157","0","0","0"
"brown_rockfish","1980","20","0","0","0","0","0"
"brown_rockfish","1981","10","0","0","0","0","0"
"brown_rockfish","1982","17","0","0","0","0","0"
"brown_rockfish","1983","6","0","0","0","0","0"
"brown_rockfish","1984","15","0","0","0","0","0"
"brown_rockfish","1985","11","0","0","0","0","0"
"brown_rockfish","1986","2","0","0","0","0","0"
"brown_rockfish","1987","0","0","0","0","0","0"
"brown_rockfish","1988","1","0","0","0","0","0"
"brown_rockfish","1989","0","0","0","0","0","0"
"brown_rockfish","1990","1","0","0","0","0","0"
"brown_rockfish","1991","51","0","0","0","0","0"
"brown_rockfish","1992","1852","0","0","0","0","0"
"brown_rockfish","1993","515","0","0","0","0","0"
"brown_rockfish","1994","623","0","0","0","0","0"
"brown_rockfish","1995","406","0","0","0","0","0"
"brown_rockfish","1996","849","0","0","0","0","0"
"brown_rockfish","1997","1115","0","0","0","0","0"
"brown_rockfish","1998","133","0","0","0","0","0"
"brown_rockfish","1999","1036","0","0","0","0","0"
"brown_rockfish","2000","601","0","0","0","0","0"
"brown_rockfish","2001","891","0","0","0","0","0"
"brown_rockfish","2002","358","0","0","0","0","0"
"brown_rockfish","2003","81","0","0","0","0","0"
"brown_rockfish","2004","75","0","0","0","0","0"
"brown_rockfish","2005","60","0","0","0","0","0"
"brown_rockfish","2006","7","0","0","0","0","0"
"brown_rockfish","2007","49","0","0","0","0","0"
"brown_rockfish","2008","27","0","0","0","0","0"
"brown_rockfish","2009","155","0","0","0","0","0"
"brown_rockfish","2010","465","0","0","0","0","0"
"brown_rockfish","2011","244","0","0","0","0","0"
"brown_rockfish","2012","203","1","0","0","0","0"
"brown_rockfish","2013","101","0","0","0","0","0"
"brown_rockfish","2014","85","1","0","0","0","0"
"brown_rockfish","2015","197","0","0","0","0","0"
"brown_rockfish","2016","192","0","0","0","0","0"
"brown_rockfish","2017","234","1","0","0","0","0"
"brown_rockfish","2018","204","0","0","0","0","0"
"brown_rockfish","2019","228","0","0","0","0","0"
"brown_rockfish","2020","251","0","0","0","0","0"
"cabezon","1980","0","0","0","0","0","0"
"cabezon","1981","0","0","0","0","0","0"
"cabezon","1982","0","0","0","0","0","0"
"cabezon","1983","0","0","0","0","0","0"
"cabezon","1984","0","0","0","0","0","0"
"cabezon","1985","0","0","0","0","0","0"
"cabezon","1986","0","0","0","0","0","0"
"cabezon","1987","0","0","0","0","0","0"
"cabezon","1988","0","0","0","0","0","0"
"cabezon","1989","0","0","0","0","0","0"
"cabezon","1990","0","0","0","0","0","0"
"cabezon","1991","0","0","0","0","0","0"
"cabezon","1992","0","0","0","0","0","0"
"cabezon","1993","30","0","0","0","0","0"
"cabezon","1994","9","0","0","0","0","0"
"cabezon","1995","206","0","0","0","0","0"
"cabezon","1996","1696","0","0","0","0","0"
"cabezon","1997","904","0","0","0","0","0"
"cabezon","1998","1345","57","0","0","0","0"
"cabezon","1999","1479","40","0","0","0","0"
"cabezon","2000","2500","802","0","0","0","0"
"cabezon","2001","1080","1228","0","0","0","0"
"cabezon","2002","297","1295","0","0","0","0"
"cabezon","2003","83","777","0","0","8","0"
"cabezon","2004","228","775","0","0","0","0"
"cabezon","2005","129","599","0","0","0","0"
"cabezon","2006","220","595","0","0","0","0"
"cabezon","2007","283","813","0","0","1","0"
"cabezon","2008","256","400","0","0","1","0"
"cabezon","2009","185","415","0","0","20","0"
"cabezon","2010","280","778","0","0","9","0"
"cabezon","2011","148","841","0","0","32","0"
"cabezon","2012","247","665","0","0","43","0"
"cabezon","2013","102","601","0","0","24","0"
"cabezon","2014","55","678","0","0","29","0"
"cabezon","2015","318","606","0","0","16","0"
"cabezon","2016","347","751","0","0","56","0"
"cabezon","2017","188","944","0","0","68","0"
"cabezon","2018","105","742","0","0","59","0"
"cabezon","2019","247","919","0","0","0","0"
"cabezon","2020","236","297","0","0","0","0"
"california_scorpionfish","1980","0","0","0","0","0","0"
"california_scorpionfish","1981","0","0","0","0","0","0"
"california_scorpionfish","1982","0","0","0","0","0","0"
"california_scorpionfish","1983","0","0","0","0","0","0"
"california_scorpionfish","1984","0","0","0","0","0","0"
"california_scorpionfish","1985","0","0","0","0","0","0"
"california_scorpionfish","1986","0","0","0","0","0","0"
"california_scorpionfish","1987","0","0","0","0","0","0"
"california_scorpionfish","1988","0","0","0","0","0","0"
"california_scorpionfish","1989","0","0","0","0","0","0"
"california_scorpionfish","1990","0","0","0","0","0","0"
"california_scorpionfish","1991","0","0","0","0","0","0"
"california_scorpionfish","1992","0","0","0","0","0","0"
"california_scorpionfish","1993","0","0","0","0","0","0"
"california_scorpionfish","1994","0","0","0","0","0","0"
"california_scorpionfish","1995","0","0","0","0","0","0"
"california_scorpionfish","1996","0","0","0","0","0","0"
"california_scorpionfish","1997","0","0","0","0","0","0"
"california_scorpionfish","1998","0","0","0","0","0","0"
"california_scorpionfish","1999","79","0","0","0","0","0"
"california_scorpionfish","2000","0","0","0","0","0","0"
"california_scorpionfish","2001","0","0","0","0","0","0"
"california_scorpionfish","2002","0","0","0","0","0","0"
"california_scorpionfish","2003","0","0","0","0","0","0"
"california_scorpionfish","2004","0","0","0","0","0","0"
"california_scorpionfish","2005","0","0","0","0","0","0"
"california_scorpionfish","2006","33","0","0","0","0","0"
"california_scorpionfish","2007","0","0","0","0","0","0"
"california_scorpionfish","2008","0","0","0","0","0","0"
"california_scorpionfish","2009","0","0","0","0","0","0"
"california_scorpionfish","2010","0","0","0","0","0","0"
"california_scorpionfish","2011","0","0","0","0","0","0"
"california_scorpionfish","2012","1","0","0","0","0","0"
"california_scorpionfish","2013","244","0","0","0","0","0"
"california_scorpionfish","2014","51","0","0","0","0","0"
"california_scorpionfish","2015","164","0","0","0","0","0"
"california_scorpionfish","2016","252","0","0","0","0","0"
"california_scorpionfish","2017","0","0","0","0","0","0"
"california_scorpionfish","2018","23","0","0","0","0","0"
"california_scorpionfish","2019","0","0","0","0","0","0"
"california_scorpionfish","2020","0","0","0","0","0","0"
"canary_rockfish","1980","363","0","2106","263","0","2061"
"canary_rockfish","1981","271","603","2232","166","428","2227"
"canary_rockfish","1982","507","1142","1461","222","457","1441"
"canary_rockfish","1983","457","2153","1833","402","2041","1775"
"canary_rockfish","1984","406","1364","2719","364","1257","2660"
"canary_rockfish","1985","536","1588","1892","430","1053","1789"
"canary_rockfish","1986","496","1152","2646","0","607","2644"
"canary_rockfish","1987","426","1751","1684","1","1448","1631"
"canary_rockfish","1988","366","1435","1418","0","459","1416"
"canary_rockfish","1989","577","1130","1016","0","1055","1003"
"canary_rockfish","1990","433","1199","902","0","998","902"
"canary_rockfish","1991","398","869","2618","0","850","2502"
"canary_rockfish","1992","2070","1364","1509","0","1280","1509"
"canary_rockfish","1993","1667","1113","1854","0","1110","1848"
"canary_rockfish","1994","2208","750","750","0","200","749"
"canary_rockfish","1995","1596","847","1100","0","794","1100"
"canary_rockfish","1996","1832","1199","789","0","1093","787"
"canary_rockfish","1997","1462","2129","870","0","1554","846"
"canary_rockfish","1998","597","1895","922","0","1641","905"
"canary_rockfish","1999","1093","1685","759","0","1516","743"
"canary_rockfish","2000","235","672","242","0","491","237"
"canary_rockfish","2001","446","1070","456","28","772","453"
"canary_rockfish","2002","316","1173","711","98","1008","708"
"canary_rockfish","2003","47","273","297","44","241","297"
"canary_rockfish","2004","38","354","394","17","333","378"
"canary_rockfish","2005","175","350","426","64","342","424"
"canary_rockfish","2006","116","360","490","41","240","488"
"canary_rockfish","2007","109","122","504","27","108","502"
"canary_rockfish","2008","23","202","441","0","195","441"
"canary_rockfish","2009","106","487","401","27","485","396"
"canary_rockfish","2010","57","365","315","0","340","310"
"canary_rockfish","2011","12","418","372","0","390","343"
"canary_rockfish","2012","167","494","455","0","493","436"
"canary_rockfish","2013","310","1175","396","0","1150","344"
"canary_rockfish","2014","202","1322","127","0","1319","81"
"canary_rockfish","2015","426","1912","554","0","1571","547"
"canary_rockfish","2016","361","1290","444","0","0","444"
"canary_rockfish","2017","985","3037","1617","0","0","1581"
"canary_rockfish","2018","788","2342","1030","0","0","840"
"canary_rockfish","2019","670","2351","770","0","0","0"
"canary_rockfish","2020","972","1141","370","0","0","0"
"chilipepper_rockfish","1980","1749","0","0","1079","0","0"
"chilipepper_rockfish","1981","1093","0","0","701","0","0"
"chilipepper_rockfish","1982","2433","0","0","1220","0","0"
"chilipepper_rockfish","1983","2991","0","0","2384","0","0"
"chilipepper_rockfish","1984","5940","0","0","3618","0","0"
"chilipepper_rockfish","1985","8599","0","0","3640","0","0"
"chilipepper_rockfish","1986","5113","0","0","2598","0","0"
"chilipepper_rockfish","1987","5268","0","0","2932","0","0"
