data_source_agency_code,sample_year,species_name,data_type_name,statistical_area_code,pfmc_area_code,mfbds_v_sample.punch_card_area_code,mfbds_v_fish.punch_card_area_code,stock_region,CountOffish_length,CountOffish_weight,CountOfsex_code,CountOfbest_age,CountOfage_structure_code,age_structure_name
WDFW,2003,Black Rockfish,Sport,,,3,,"Coastal, WA ",103,0,103,101,103,Otolith
WDFW,2003,Black Rockfish,Sport,,,4,,"Coastal, WA ",24,11,0,0,0,No age structure taken
WDFW,2003,Black Rockfish,Sport,,,4,,"Coastal, WA ",900,0,900,894,900,Otolith
WDFW,2003,Black Rockfish,Sport,,,,,No Area Data,50,0,50,49,50,Otolith
WDFW,2003,Blue/Deacon Rockfish,Sport,,,1,,"Coastal, WA ",2,1,0,0,0,No age structure taken
WDFW,2003,Blue/Deacon Rockfish,Sport,,,2,,"Coastal, WA ",4,0,4,0,0,No age structure taken
WDFW,2003,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",23,21,0,0,0,No age structure taken
WDFW,2003,Bocaccio,Sport,,,2,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2003,Cabezon,Sport,,,1,,"Coastal, WA ",30,4,0,0,0,No age structure taken
WDFW,2003,Cabezon,Sport,,,2,,"Coastal, WA ",27,0,21,0,0,No age structure taken
WDFW,2003,Cabezon,Sport,,,3,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2003,Cabezon,Sport,,,4,,"Coastal, WA ",34,32,0,0,0,No age structure taken
WDFW,2003,Canary Rockfish,Sport,,,1,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2003,Canary Rockfish,Sport,,,2,,"Coastal, WA ",215,0,201,0,0,No age structure taken
WDFW,2003,Canary Rockfish,Sport,,,3,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2003,Canary Rockfish,Sport,,,4,,"Coastal, WA ",11,8,0,0,0,No age structure taken
WDFW,2003,China Rockfish,Sport,,,1,,"Coastal, WA ",12,2,0,0,0,No age structure taken
WDFW,2003,China Rockfish,Sport,,,2,,"Coastal, WA ",20,0,18,0,0,No age structure taken
WDFW,2003,China Rockfish,Sport,,,4,,"Coastal, WA ",28,26,0,0,0,No age structure taken
WDFW,2003,Copper Rockfish,Sport,,,1,,"Coastal, WA ",2,0,0,0,0,No age structure taken
WDFW,2003,Copper Rockfish,Sport,,,2,,"Coastal, WA ",19,0,18,0,0,No age structure taken
WDFW,2003,Copper Rockfish,Sport,,,3,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2003,Copper Rockfish,Sport,,,4,,"Coastal, WA ",24,24,0,0,0,No age structure taken
WDFW,2003,Greenstriped Rockfish,Sport,,,2,,"Coastal, WA ",4,0,4,0,0,No age structure taken
WDFW,2003,Kelp Greenling,Sport,,,1,,"Coastal, WA ",63,7,0,0,0,No age structure taken
WDFW,2003,Kelp Greenling,Sport,,,2,,"Coastal, WA ",17,0,7,0,0,No age structure taken
WDFW,2003,Kelp Greenling,Sport,,,3,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2003,Kelp Greenling,Sport,,,4,,"Coastal, WA ",71,70,0,0,0,No age structure taken
WDFW,2003,Lingcod,Sport,,,1,,"Coastal, WA ",125,12,0,0,0,No age structure taken
WDFW,2003,Lingcod,Sport,,,2,,"Coastal, WA ",276,0,276,276,277,Fin
WDFW,2003,Lingcod,Sport,,,2,,"Coastal, WA ",384,0,215,0,0,No age structure taken
WDFW,2003,Lingcod,Sport,,,3,,"Coastal, WA ",26,26,0,0,0,No age structure taken
WDFW,2003,Lingcod,Sport,,,4,,"Coastal, WA ",357,7,357,348,357,Fin
WDFW,2003,Lingcod,Sport,,,4,,"Coastal, WA ",327,65,250,0,0,No age structure taken
WDFW,2003,Lingcod,Sport,,,5,,"Puget Sound, WA",6,0,6,6,6,Fin
WDFW,2003,Lingcod,Sport,,,6,,"Puget Sound, WA",3,1,3,3,3,Fin
WDFW,2003,Lingcod,Sport,,,7,,"Puget Sound, WA",347,331,347,347,347,Fin
WDFW,2003,Lingcod,Sport,,,8,,"Puget Sound, WA",187,183,187,187,187,Fin
WDFW,2003,Pacific Cod,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Pacific Cod,Sport,,,4,,"Coastal, WA ",18,13,0,0,0,No age structure taken
WDFW,2003,Pacific Halibut,Sport,,,1,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2003,Pacific Halibut,Sport,,,4,,"Coastal, WA ",7,7,0,0,0,No age structure taken
WDFW,2003,Perch-Like Fish,Sport,,,2,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2003,Perch-Like Fish,Sport,,,4,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2003,Quillback Rockfish,Sport,,,1,,"Coastal, WA ",3,0,0,0,0,No age structure taken
WDFW,2003,Quillback Rockfish,Sport,,,2,,"Coastal, WA ",262,0,260,0,0,No age structure taken
WDFW,2003,Quillback Rockfish,Sport,,,3,,"Coastal, WA ",5,5,0,0,0,No age structure taken
WDFW,2003,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",20,11,0,0,0,No age structure taken
WDFW,2003,Red Irish Lord,Sport,,,4,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2003,Sablefish,Sport,,,2,,"Coastal, WA ",27,0,27,0,0,No age structure taken
WDFW,2003,Starry Flounder,Sport,,,2,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2003,Tiger Rockfish,Sport,,,1,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2003,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",3,2,0,0,0,No age structure taken
WDFW,2003,Tuna Or Mackerel,Sport,,,1,,"Coastal, WA ",31,31,0,0,0,No age structure taken
WDFW,2003,Tuna Or Mackerel,Sport,,,4,,"Coastal, WA ",12,0,0,0,0,No age structure taken
WDFW,2003,Vermilion Rockfish,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2003,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",3,2,0,0,0,No age structure taken
WDFW,2003,Widow Rockfish,Sport,,,2,,"Coastal, WA ",20,0,20,0,0,No age structure taken
WDFW,2003,Yelloweye Rockfish,Sport,,,2,,"Coastal, WA ",2,0,0,0,0,No age structure taken
WDFW,2003,Yellowtail Rockfish,Sport,,,2,,"Coastal, WA ",733,0,732,0,0,No age structure taken
WDFW,2003,Yellowtail Rockfish,Sport,,,3,,"Coastal, WA ",15,15,0,0,0,No age structure taken
WDFW,2003,Yellowtail Rockfish,Sport,,,4,,"Coastal, WA ",39,22,0,0,0,No age structure taken
WDFW,2003,Yellowtail Rockfish,Sport,,,,,No Area Data,13,0,13,0,0,No age structure taken
WDFW,2004,Black Rockfish,Sport,,,1,,"Coastal, WA ",269,192,0,0,0,No age structure taken
WDFW,2004,Black Rockfish,Sport,,,2,,"Coastal, WA ",849,0,850,846,850,Otolith
WDFW,2004,Black Rockfish,Sport,,,4,,"Coastal, WA ",75,0,0,0,0,No age structure taken
WDFW,2004,Black Rockfish,Sport,,,4,,"Coastal, WA ",807,0,807,799,807,Otolith
WDFW,2004,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",27,27,11,0,0,No age structure taken
WDFW,2004,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",144,0,144,0,144,Otolith
WDFW,2004,Bocaccio,Sport,,,2,,"Coastal, WA ",14,0,0,0,0,No age structure taken
WDFW,2004,Cabezon,Sport,,,1,,"Coastal, WA ",66,32,0,0,0,No age structure taken
WDFW,2004,Cabezon,Sport,,,2,,"Coastal, WA ",34,0,30,0,0,No age structure taken
WDFW,2004,Cabezon,Sport,,,4,,"Coastal, WA ",3,0,0,0,0,No age structure taken
WDFW,2004,Canary Rockfish,Sport,,,1,,"Coastal, WA ",4,3,0,0,0,No age structure taken
WDFW,2004,Canary Rockfish,Sport,,,2,,"Coastal, WA ",12,7,12,12,12,Otolith
WDFW,2004,Canary Rockfish,Sport,,,3,,"Coastal, WA ",1,0,1,1,1,Otolith
WDFW,2004,Canary Rockfish,Sport,,,4,,"Coastal, WA ",27,0,27,27,27,Otolith
WDFW,2004,China Rockfish,Sport,,,1,,"Coastal, WA ",19,19,0,0,0,No age structure taken
WDFW,2004,China Rockfish,Sport,,,2,,"Coastal, WA ",6,0,6,0,0,No age structure taken
WDFW,2004,China Rockfish,Sport,,,4,,"Coastal, WA ",23,20,0,0,0,No age structure taken
WDFW,2004,China Rockfish,Sport,,,4,,"Coastal, WA ",175,0,175,171,175,Otolith
WDFW,2004,Chub Mackerel,Sport,,,1,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2004,Copper Rockfish,Sport,,,1,,"Coastal, WA ",15,13,0,0,0,No age structure taken
WDFW,2004,Copper Rockfish,Sport,,,2,,"Coastal, WA ",15,0,15,0,0,No age structure taken
WDFW,2004,Copper Rockfish,Sport,,,4,,"Coastal, WA ",26,19,0,0,0,No age structure taken
WDFW,2004,Copper Rockfish,Sport,,,4,,"Coastal, WA ",188,0,188,188,188,Otolith
WDFW,2004,Dover Sole,Sport,,,2,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2004,Grass Rockfish,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2004,Greenstriped Rockfish,Sport,,,1,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2004,Greenstriped Rockfish,Sport,,,2,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2004,Greenstriped Rockfish,Sport,,,4,,"Coastal, WA ",2,0,0,0,0,No age structure taken
WDFW,2004,Kelp Greenling,Sport,,,1,,"Coastal, WA ",82,67,0,0,0,No age structure taken
WDFW,2004,Kelp Greenling,Sport,,,2,,"Coastal, WA ",19,0,13,0,0,No age structure taken
WDFW,2004,Kelp Greenling,Sport,,,4,,"Coastal, WA ",273,49,197,0,0,No age structure taken
WDFW,2004,Kelp Greenling,Sport,,,4,,"Coastal, WA ",69,0,69,55,69,Otolith
WDFW,2004,Lingcod,Sport,,,1,,"Coastal, WA ",134,76,0,0,0,No age structure taken
WDFW,2004,Lingcod,Sport,,,10,,"Puget Sound, WA",3,3,3,3,3,Fin
WDFW,2004,Lingcod,Sport,,,11,,"Puget Sound, WA",60,50,60,60,60,Fin
WDFW,2004,Lingcod,Sport,,,13,,"Puget Sound, WA",15,15,15,15,15,Fin
WDFW,2004,Lingcod,Sport,,,2,,"Coastal, WA ",264,0,264,264,264,Fin
WDFW,2004,Lingcod,Sport,,,2,,"Coastal, WA ",376,0,317,0,0,No age structure taken
WDFW,2004,Lingcod,Sport,,,4,,"Coastal, WA ",306,25,306,306,306,Fin
WDFW,2004,Lingcod,Sport,,,4,,"Coastal, WA ",225,12,204,0,0,No age structure taken
WDFW,2004,Lingcod,Sport,,,5,,"Puget Sound, WA",7,5,7,7,7,Fin
WDFW,2004,Lingcod,Sport,,,6,,"Puget Sound, WA",6,2,6,6,6,Fin
WDFW,2004,Lingcod,Sport,,,7,,"Puget Sound, WA",99,88,99,99,99,Fin
WDFW,2004,Lingcod,Sport,,,8,,"Puget Sound, WA",58,57,58,58,58,Fin
WDFW,2004,Lingcod,Sport,,,82,,"Puget Sound, WA",1,0,1,1,1,Fin
WDFW,2004,Lingcod,Sport,,,9,,"Puget Sound, WA",26,21,25,26,26,Fin
WDFW,2004,Lingcod,Sport,,,,,No Area Data,4,4,4,4,4,Fin
WDFW,2004,Pacific Cod,Sport,,,2,,"Coastal, WA ",159,0,159,0,0,No age structure taken
WDFW,2004,Pacific Cod,Sport,,,4,,"Coastal, WA ",5,3,0,0,0,No age structure taken
WDFW,2004,Quillback Rockfish,Sport,,,1,,"Coastal, WA ",15,14,0,0,0,No age structure taken
WDFW,2004,Quillback Rockfish,Sport,,,2,,"Coastal, WA ",130,0,129,0,0,No age structure taken
WDFW,2004,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",19,12,0,0,0,No age structure taken
WDFW,2004,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",158,0,158,157,158,Otolith
WDFW,2004,Redbanded Rockfish,Sport,,,2,,"Coastal, WA ",4,0,1,0,0,No age structure taken
WDFW,2004,Red Irish Lord,Sport,,,1,,"Coastal, WA ",4,3,0,0,0,No age structure taken
WDFW,2004,Sablefish,Sport,,,2,,"Coastal, WA ",25,0,25,0,0,No age structure taken
WDFW,2004,Sablefish,Sport,,,4,,"Coastal, WA ",11,11,0,0,0,No age structure taken
WDFW,2004,Starry Flounder,Sport,,,1,,"Coastal, WA ",7,0,0,0,0,No age structure taken
WDFW,2004,Starry Flounder,Sport,,,2,,"Coastal, WA ",14,0,13,0,0,No age structure taken
WDFW,2004,Surfperch,Sport,,,4,,"Coastal, WA ",3,0,0,0,0,No age structure taken
WDFW,2004,Tiger Rockfish,Sport,,,1,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2004,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2004,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",11,0,11,0,11,Otolith
WDFW,2004,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",15,0,15,11,15,Otolith
WDFW,2004,Widow Rockfish,Sport,,,2,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2004,Widow Rockfish,Sport,,,4,,"Coastal, WA ",2,1,1,0,0,No age structure taken
WDFW,2004,Yelloweye Rockfish,Sport,,,2,,"Coastal, WA ",5,5,5,3,5,Otolith
WDFW,2004,Yelloweye Rockfish,Sport,,,4,,"Coastal, WA ",7,0,7,7,7,Otolith
WDFW,2004,Yellowmouth Rockfish,Sport,,,2,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2004,Yellowtail Rockfish,Sport,,,1,,"Coastal, WA ",40,22,0,0,0,No age structure taken
WDFW,2004,Yellowtail Rockfish,Sport,,,2,,"Coastal, WA ",411,0,411,0,0,No age structure taken
WDFW,2004,Yellowtail Rockfish,Sport,,,4,,"Coastal, WA ",224,28,195,0,0,No age structure taken
WDFW,2005,Black Rockfish,Sport,,,1,,"Coastal, WA ",308,303,0,0,0,No age structure taken
WDFW,2005,Black Rockfish,Sport,,,2,,"Coastal, WA ",124,0,0,0,0,No age structure taken
WDFW,2005,Black Rockfish,Sport,,,2,,"Coastal, WA ",849,0,849,849,849,Otolith
WDFW,2005,Black Rockfish,Sport,,,3,,"Coastal, WA ",32,0,0,0,0,No age structure taken
WDFW,2005,Black Rockfish,Sport,,,4,,"Coastal, WA ",99,0,0,0,0,No age structure taken
WDFW,2005,Black Rockfish,Sport,,,4,,"Coastal, WA ",815,0,815,804,815,Otolith
WDFW,2005,Blue/Deacon Rockfish,Sport,,,2,,"Coastal, WA ",95,0,95,0,0,No age structure taken
WDFW,2005,Blue/Deacon Rockfish,Sport,,,3,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2005,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",183,181,0,0,0,No age structure taken
WDFW,2005,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",202,0,202,0,202,Otolith
WDFW,2005,Bocaccio,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Cabezon,Sport,,,1,,"Coastal, WA ",29,22,0,0,0,No age structure taken
WDFW,2005,Cabezon,Sport,,,2,,"Coastal, WA ",43,0,38,0,0,No age structure taken
WDFW,2005,Cabezon,Sport,,,3,,"Coastal, WA ",6,6,0,0,0,No age structure taken
WDFW,2005,Cabezon,Sport,,,4,,"Coastal, WA ",134,124,0,0,0,No age structure taken
WDFW,2005,Canary Rockfish,Sport,,,2,,"Coastal, WA ",4,4,4,4,4,Otolith
WDFW,2005,Canary Rockfish,Sport,,,4,,"Coastal, WA ",7,6,0,0,0,No age structure taken
WDFW,2005,Canary Rockfish,Sport,,,4,,"Coastal, WA ",40,0,40,40,40,Otolith
WDFW,2005,China Rockfish,Sport,,,1,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2005,China Rockfish,Sport,,,2,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2005,China Rockfish,Sport,,,3,,"Coastal, WA ",10,10,0,0,0,No age structure taken
WDFW,2005,China Rockfish,Sport,,,4,,"Coastal, WA ",139,137,0,0,0,No age structure taken
WDFW,2005,China Rockfish,Sport,,,4,,"Coastal, WA ",209,0,209,206,209,Otolith
WDFW,2005,Copper Rockfish,Sport,,,1,,"Coastal, WA ",1,1,0,0,0,No age structure taken
WDFW,2005,Copper Rockfish,Sport,,,2,,"Coastal, WA ",39,0,39,0,0,No age structure taken
WDFW,2005,Copper Rockfish,Sport,,,3,,"Coastal, WA ",11,10,0,0,0,No age structure taken
WDFW,2005,Copper Rockfish,Sport,,,4,,"Coastal, WA ",166,163,0,0,0,No age structure taken
WDFW,2005,Copper Rockfish,Sport,,,4,,"Coastal, WA ",226,0,226,225,226,Otolith
WDFW,2005,Greenstriped Rockfish,Sport,,,2,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2005,Kelp Greenling,Sport,,,1,,"Coastal, WA ",28,27,0,0,0,No age structure taken
WDFW,2005,Kelp Greenling,Sport,,,2,,"Coastal, WA ",38,0,19,0,0,No age structure taken
WDFW,2005,Kelp Greenling,Sport,,,3,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2005,Kelp Greenling,Sport,,,4,,"Coastal, WA ",233,222,0,0,0,No age structure taken
WDFW,2005,Kelp Greenling,Sport,,,4,,"Coastal, WA ",251,0,251,232,252,Otolith
WDFW,2005,Lingcod,Sport,,,1,,"Coastal, WA ",32,25,0,0,0,No age structure taken
WDFW,2005,Lingcod,Sport,,,10,,"Puget Sound, WA",53,48,53,49,53,Fin
WDFW,2005,Lingcod,Sport,,,11,,"Puget Sound, WA",33,33,33,33,33,Fin
WDFW,2005,Lingcod,Sport,,,11,,"Puget Sound, WA",4,4,4,0,0,No age structure taken
WDFW,2005,Lingcod,Sport,,,13,,"Puget Sound, WA",18,17,18,18,18,Fin
WDFW,2005,Lingcod,Sport,,,2,,"Coastal, WA ",287,0,287,284,287,Fin
WDFW,2005,Lingcod,Sport,,,2,,"Coastal, WA ",536,0,478,0,0,No age structure taken
WDFW,2005,Lingcod,Sport,,,3,,"Coastal, WA ",16,10,0,0,0,No age structure taken
WDFW,2005,Lingcod,Sport,,,4,,"Coastal, WA ",289,27,289,287,289,Fin
WDFW,2005,Lingcod,Sport,,,4,,"Coastal, WA ",464,225,238,0,0,No age structure taken
WDFW,2005,Lingcod,Sport,,,5,,"Puget Sound, WA",15,15,15,9,15,Fin
WDFW,2005,Lingcod,Sport,,,6,,"Puget Sound, WA",12,11,12,11,12,Fin
WDFW,2005,Lingcod,Sport,,,7,,"Puget Sound, WA",96,74,96,81,96,Fin
WDFW,2005,Lingcod,Sport,,,8,,"Puget Sound, WA",122,116,122,98,122,Fin
WDFW,2005,Lingcod,Sport,,,9,,"Puget Sound, WA",56,53,56,41,56,Fin
WDFW,2005,Pacific Cod,Sport,,,2,,"Coastal, WA ",17,0,17,0,0,No age structure taken
WDFW,2005,Pacific Cod,Sport,,,4,,"Coastal, WA ",14,14,0,0,0,No age structure taken
WDFW,2005,Quillback Rockfish,Sport,,,2,,"Coastal, WA ",159,0,156,0,0,No age structure taken
WDFW,2005,Quillback Rockfish,Sport,,,3,,"Coastal, WA ",8,6,0,0,0,No age structure taken
WDFW,2005,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",63,62,0,0,0,No age structure taken
WDFW,2005,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",181,0,181,181,181,Otolith
WDFW,2005,Red Irish Lord,Sport,,,4,,"Coastal, WA ",4,4,0,0,0,No age structure taken
WDFW,2005,Rock Greenling,Sport,,,4,,"Coastal, WA ",4,4,0,0,0,No age structure taken
WDFW,2005,Rock Sole,Sport,,,4,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2005,Rosethorn Rockfish,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Sablefish,Sport,,,2,,"Coastal, WA ",8,0,8,0,0,No age structure taken
WDFW,2005,Starry Flounder,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Surfperch,Sport,,,1,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2005,Tiger Rockfish,Sport,,,3,,"Coastal, WA ",1,0,0,0,0,No age structure taken
WDFW,2005,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",9,9,0,0,0,No age structure taken
WDFW,2005,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",8,0,8,0,8,Otolith
WDFW,2005,Vermilion Rockfish,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2005,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",28,28,0,0,0,No age structure taken
WDFW,2005,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",26,0,26,23,26,Otolith
WDFW,2005,Widow Rockfish,Sport,,,2,,"Coastal, WA ",13,0,13,0,0,No age structure taken
WDFW,2005,Widow Rockfish,Sport,,,4,,"Coastal, WA ",3,3,0,0,0,No age structure taken
